year,Ambrosia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,6
1917,5
1918,0
1919,0
1920,8
1921,0
1922,0
1923,10
1924,0
1925,0
1926,0
1927,6
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,6
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,6
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,6
1976,10
1977,11
1978,12
1979,28
1980,57
1981,65
1982,39
1983,44
1984,47
1985,41
1986,53
1987,56
1988,56
1989,45
1990,56
1991,53
1992,51
1993,50
1994,50
1995,51
1996,44
1997,44
1998,51
1999,64
2000,52
2001,50
2002,33
2003,37
2004,41
2005,42
2006,20
2007,25
2008,18
2009,23
2010,10
2011,21
2012,19
