year,Augustus (F),Augustus (M)
1880,0.000000,0.000367
1881,0.000000,0.000265
1882,0.000000,0.000293
1883,0.000000,0.000244
1884,0.000000,0.000267
1885,0.000000,0.000286
1886,0.000000,0.000227
1887,0.000000,0.000206
1888,0.000000,0.000220
1889,0.000000,0.000121
1890,0.000000,0.000143
1891,0.000000,0.000133
1892,0.000000,0.000144
1893,0.000000,0.000172
1894,0.000000,0.000139
1895,0.000000,0.000142
1896,0.000000,0.000148
1897,0.000000,0.000135
1898,0.000000,0.000126
1899,0.000000,0.000091
1900,0.000000,0.000100
1901,0.000000,0.000101
1902,0.000000,0.000111
1903,0.000000,0.000063
1904,0.000000,0.000109
1905,0.000000,0.000106
1906,0.000000,0.000063
1907,0.000000,0.000088
1908,0.000000,0.000068
1909,0.000000,0.000084
1910,0.000000,0.000091
1911,0.000000,0.000082
1912,0.000000,0.000107
1913,0.000000,0.000102
1914,0.000000,0.000109
1915,0.000000,0.000088
1916,0.000000,0.000077
1917,0.000000,0.000074
1918,0.000002,0.000076
1919,0.000000,0.000083
1920,0.000000,0.000073
1921,0.000000,0.000073
1922,0.000002,0.000072
1923,0.000000,0.000079
1924,0.000000,0.000065
1925,0.000000,0.000070
1926,0.000000,0.000060
1927,0.000000,0.000067
1928,0.000000,0.000064
1929,0.000000,0.000048
1930,0.000000,0.000054
1931,0.000000,0.000052
1932,0.000000,0.000071
1933,0.000000,0.000049
1934,0.000000,0.000051
1935,0.000000,0.000048
1936,0.000000,0.000050
1937,0.000000,0.000043
1938,0.000000,0.000047
1939,0.000000,0.000039
1940,0.000000,0.000041
1941,0.000000,0.000034
1942,0.000000,0.000040
1943,0.000000,0.000035
1944,0.000000,0.000035
1945,0.000000,0.000034
1946,0.000000,0.000033
1947,0.000000,0.000026
1948,0.000000,0.000030
1949,0.000000,0.000027
1950,0.000000,0.000022
1951,0.000000,0.000025
1952,0.000000,0.000028
1953,0.000000,0.000025
1954,0.000000,0.000025
1955,0.000000,0.000022
1956,0.000000,0.000017
1957,0.000000,0.000022
1958,0.000000,0.000015
1959,0.000000,0.000017
1960,0.000000,0.000014
1961,0.000000,0.000016
1962,0.000000,0.000014
1963,0.000000,0.000016
1964,0.000000,0.000016
1965,0.000000,0.000018
1966,0.000000,0.000017
1967,0.000000,0.000018
1968,0.000000,0.000016
1969,0.000000,0.000014
1970,0.000000,0.000019
1971,0.000000,0.000019
1972,0.000000,0.000018
1973,0.000000,0.000014
1974,0.000000,0.000013
1975,0.000000,0.000016
1976,0.000000,0.000018
1977,0.000000,0.000014
1978,0.000000,0.000015
1979,0.000000,0.000014
1980,0.000000,0.000015
1981,0.000000,0.000018
1982,0.000000,0.000013
1983,0.000000,0.000013
1984,0.000000,0.000014
1985,0.000000,0.000010
1986,0.000000,0.000011
1987,0.000000,0.000015
1988,0.000000,0.000016
1989,0.000000,0.000023
1990,0.000000,0.000025
1991,0.000000,0.000037
1992,0.000000,0.000036
1993,0.000000,0.000038
1994,0.000000,0.000041
1995,0.000000,0.000043
1996,0.000000,0.000038
1997,0.000000,0.000038
1998,0.000000,0.000042
1999,0.000000,0.000042
2000,0.000000,0.000042
2001,0.000000,0.000048
2002,0.000000,0.000053
2003,0.000000,0.000053
2004,0.000000,0.000055
2005,0.000000,0.000066
2006,0.000000,0.000062
2007,0.000000,0.000068
2008,0.000000,0.000071
2009,0.000000,0.000073
2010,0.000000,0.000079
2011,0.000000,0.000080
2012,0.000000,0.000093
2013,0.000000,0.000095
2014,0.000000,0.000136
2015,0.000000,0.000175
2016,0.000000,0.000183
2017,0.000000,0.000205
2018,0.000000,0.000181
2019,0.000000,0.000184
2020,0.000000,0.000174
