year,Agustin (F),Agustin (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000021
1903,0.000000,0.000018
1904,0.000000,0.000012
1905,0.000000,0.000019
1906,0.000000,0.000000
1907,0.000000,0.000011
1908,0.000000,0.000014
1909,0.000000,0.000022
1910,0.000000,0.000010
1911,0.000000,0.000000
1912,0.000000,0.000011
1913,0.000000,0.000013
1914,0.000000,0.000016
1915,0.000000,0.000013
1916,0.000000,0.000016
1917,0.000000,0.000016
1918,0.000000,0.000012
1919,0.000000,0.000015
1920,0.000000,0.000021
1921,0.000000,0.000023
1922,0.000000,0.000021
1923,0.000000,0.000020
1924,0.000000,0.000029
1925,0.000000,0.000030
1926,0.000000,0.000024
1927,0.000000,0.000028
1928,0.000000,0.000029
1929,0.000000,0.000029
1930,0.000000,0.000031
1931,0.000000,0.000029
1932,0.000000,0.000032
1933,0.000000,0.000028
1934,0.000000,0.000025
1935,0.000000,0.000030
1936,0.000000,0.000024
1937,0.000000,0.000023
1938,0.000000,0.000023
1939,0.000000,0.000013
1940,0.000000,0.000023
1941,0.000000,0.000017
1942,0.000000,0.000014
1943,0.000000,0.000016
1944,0.000000,0.000017
1945,0.000000,0.000020
1946,0.000000,0.000020
1947,0.000000,0.000019
1948,0.000000,0.000019
1949,0.000000,0.000019
1950,0.000000,0.000015
1951,0.000000,0.000018
1952,0.000000,0.000018
1953,0.000000,0.000021
1954,0.000000,0.000017
1955,0.000000,0.000017
1956,0.000000,0.000018
1957,0.000000,0.000017
1958,0.000000,0.000019
1959,0.000000,0.000018
1960,0.000000,0.000019
1961,0.000000,0.000015
1962,0.000000,0.000015
1963,0.000000,0.000020
1964,0.000000,0.000020
1965,0.000000,0.000024
1966,0.000000,0.000029
1967,0.000000,0.000032
1968,0.000000,0.000031
1969,0.000000,0.000030
1970,0.000000,0.000031
1971,0.000000,0.000037
1972,0.000000,0.000031
1973,0.000000,0.000041
1974,0.000000,0.000045
1975,0.000002,0.000044
1976,0.000000,0.000056
1977,0.000002,0.000053
1978,0.000000,0.000040
1979,0.000000,0.000055
1980,0.000000,0.000045
1981,0.000001,0.000044
1982,0.000000,0.000057
1983,0.000000,0.000053
1984,0.000000,0.000045
1985,0.000000,0.000047
1986,0.000001,0.000050
1987,0.000000,0.000053
1988,0.000000,0.000052
1989,0.000000,0.000066
1990,0.000000,0.000066
1991,0.000000,0.000067
1992,0.000000,0.000073
1993,0.000000,0.000074
1994,0.000000,0.000080
1995,0.000000,0.000073
1996,0.000000,0.000079
1997,0.000000,0.000081
1998,0.000000,0.000077
1999,0.000000,0.000082
2000,0.000000,0.000091
2001,0.000000,0.000099
2002,0.000000,0.000091
2003,0.000000,0.000082
2004,0.000000,0.000082
2005,0.000000,0.000081
2006,0.000000,0.000088
2007,0.000000,0.000078
2008,0.000000,0.000078
2009,0.000000,0.000073
2010,0.000000,0.000067
2011,0.000000,0.000060
2012,0.000000,0.000059
2013,0.000000,0.000053
2014,0.000000,0.000066
2015,0.000000,0.000061
2016,0.000000,0.000058
2017,0.000000,0.000062
2018,0.000000,0.000055
2019,0.000000,0.000056
2020,0.000000,0.000061
