year,Aiko
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,8
1913,7
1914,7
1915,10
1916,15
1917,20
1918,26
1919,41
1920,34
1921,17
1922,34
1923,32
1924,41
1925,39
1926,38
1927,25
1928,24
1929,22
1930,16
1931,20
1932,13
1933,12
1934,10
1935,10
1936,7
1937,5
1938,8
1939,7
1940,0
1941,0
1942,0
1943,7
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,5
1972,7
1973,0
1974,5
1975,7
1976,5
1977,0
1978,6
1979,5
1980,0
1981,7
1982,6
1983,9
1984,6
1985,6
1986,5
1987,8
1988,5
1989,8
1990,12
1991,11
1992,9
1993,14
1994,13
1995,8
1996,12
1997,15
1998,18
1999,12
2000,17
2001,13
2002,35
2003,32
2004,27
2005,33
2006,37
2007,28
2008,39
2009,50
2010,37
2011,28
2012,27
