year,Aleida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,0
1921,5
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,0
1935,5
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,0
1952,5
1953,0
1954,0
1955,0
1956,7
1957,10
1958,0
1959,15
1960,32
1961,11
1962,13
1963,17
1964,11
1965,12
1966,16
1967,18
1968,10
1969,18
1970,14
1971,11
1972,16
1973,19
1974,23
1975,10
1976,18
1977,11
1978,19
1979,19
1980,23
1981,24
1982,17
1983,6
1984,11
1985,21
1986,18
1987,19
1988,13
1989,20
1990,23
1991,21
1992,19
1993,27
1994,20
1995,17
1996,14
1997,24
1998,31
1999,19
2000,23
2001,26
2002,34
2003,28
2004,42
2005,60
2006,48
2007,42
2008,56
2009,65
2010,49
2011,48
2012,45
