year,Alyce
1880,7
1881,0
1882,6
1883,13
1884,0
1885,6
1886,10
1887,10
1888,9
1889,10
1890,19
1891,14
1892,22
1893,17
1894,16
1895,25
1896,13
1897,22
1898,22
1899,27
1900,45
1901,35
1902,44
1903,53
1904,46
1905,68
1906,85
1907,87
1908,105
1909,107
1910,141
1911,151
1912,182
1913,218
1914,267
1915,384
1916,369
1917,378
1918,404
1919,410
1920,434
1921,503
1922,430
1923,436
1924,411
1925,399
1926,342
1927,328
1928,276
1929,244
1930,227
1931,257
1932,228
1933,211
1934,231
1935,326
1936,245
1937,216
1938,254
1939,214
1940,206
1941,234
1942,224
1943,224
1944,215
1945,183
1946,228
1947,239
1948,214
1949,199
1950,208
1951,191
1952,186
1953,159
1954,127
1955,153
1956,133
1957,123
1958,125
1959,116
1960,121
1961,120
1962,102
1963,97
1964,97
1965,86
1966,67
1967,70
1968,69
1969,72
1970,81
1971,67
1972,58
1973,69
1974,48
1975,51
1976,45
1977,43
1978,39
1979,30
1980,31
1981,38
1982,39
1983,43
1984,52
1985,45
1986,62
1987,95
1988,93
1989,87
1990,63
1991,57
1992,59
1993,50
1994,46
1995,35
1996,50
1997,34
1998,28
1999,42
2000,35
2001,35
2002,45
2003,38
2004,48
2005,38
2006,38
2007,46
2008,51
2009,50
2010,55
2011,63
2012,69
