year,Amina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,5
1953,0
1954,0
1955,0
1956,0
1957,0
1958,7
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,12
1966,6
1967,13
1968,9
1969,24
1970,20
1971,42
1972,52
1973,52
1974,54
1975,61
1976,60
1977,55
1978,70
1979,70
1980,70
1981,78
1982,64
1983,62
1984,60
1985,75
1986,89
1987,76
1988,93
1989,85
1990,86
1991,90
1992,90
1993,110
1994,128
1995,140
1996,152
1997,173
1998,178
1999,182
2000,215
2001,199
2002,237
2003,277
2004,269
2005,286
2006,265
2007,357
2008,385
2009,399
2010,403
2011,364
2012,404
