year,Arnaldo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,6
1926,0
1927,0
1928,0
1929,5
1930,6
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,0
1942,0
1943,7
1944,7
1945,5
1946,9
1947,8
1948,0
1949,9
1950,14
1951,7
1952,8
1953,10
1954,9
1955,20
1956,15
1957,16
1958,30
1959,22
1960,21
1961,22
1962,33
1963,26
1964,24
1965,31
1966,30
1967,19
1968,15
1969,19
1970,28
1971,27
1972,24
1973,31
1974,35
1975,30
1976,18
1977,21
1978,60
1979,30
1980,37
1981,46
1982,52
1983,33
1984,46
1985,35
1986,61
1987,43
1988,41
1989,90
1990,81
1991,67
1992,63
1993,33
1994,39
1995,40
1996,29
1997,27
1998,24
1999,22
2000,25
2001,35
2002,25
2003,14
2004,22
2005,20
2006,21
2007,19
2008,17
2009,21
2010,15
2011,12
2012,15
