year,Antony
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,10
1914,22
1915,14
1916,15
1917,22
1918,21
1919,19
1920,20
1921,13
1922,20
1923,13
1924,20
1925,14
1926,11
1927,17
1928,9
1929,12
1930,14
1931,11
1932,11
1933,11
1934,9
1935,7
1936,8
1937,10
1938,19
1939,17
1940,16
1941,10
1942,15
1943,15
1944,14
1945,20
1946,19
1947,13
1948,26
1949,24
1950,34
1951,29
1952,45
1953,54
1954,58
1955,48
1956,48
1957,55
1958,61
1959,67
1960,96
1961,90
1962,95
1963,107
1964,111
1965,110
1966,105
1967,126
1968,150
1969,159
1970,177
1971,146
1972,129
1973,114
1974,117
1975,117
1976,119
1977,111
1978,141
1979,98
1980,116
1981,120
1982,134
1983,124
1984,125
1985,100
1986,157
1987,144
1988,163
1989,140
1990,151
1991,166
1992,156
1993,151
1994,152
1995,153
1996,188
1997,189
1998,176
1999,178
2000,209
2001,226
2002,220
2003,248
2004,238
2005,248
2006,247
2007,265
2008,231
2009,199
2010,209
2011,147
2012,156
