year,Apryl
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,6
1946,5
1947,6
1948,0
1949,7
1950,0
1951,5
1952,8
1953,11
1954,18
1955,14
1956,13
1957,25
1958,33
1959,19
1960,24
1961,30
1962,23
1963,28
1964,25
1965,23
1966,34
1967,53
1968,44
1969,40
1970,55
1971,59
1972,61
1973,73
1974,75
1975,50
1976,53
1977,73
1978,75
1979,96
1980,108
1981,119
1982,113
1983,75
1984,86
1985,72
1986,76
1987,85
1988,66
1989,65
1990,72
1991,57
1992,56
1993,52
1994,48
1995,30
1996,29
1997,43
1998,42
1999,47
2000,41
2001,37
2002,36
2003,25
2004,44
2005,26
2006,32
2007,30
2008,30
2009,21
2010,17
2011,16
2012,16
