year,Ardena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,10
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,0
1913,0
1914,10
1915,10
1916,14
1917,8
1918,13
1919,20
1920,7
1921,8
1922,16
1923,6
1924,10
1925,9
1926,8
1927,17
1928,7
1929,9
1930,11
1931,16
1932,9
1933,5
1934,9
1935,11
1936,10
1937,12
1938,9
1939,10
1940,9
1941,13
1942,10
1943,10
1944,8
1945,7
1946,0
1947,11
1948,11
1949,7
1950,8
1951,5
1952,11
1953,8
1954,10
1955,10
1956,5
1957,5
1958,6
1959,6
1960,0
1961,8
1962,10
1963,11
1964,0
1965,8
1966,8
1967,7
1968,9
1969,7
1970,8
1971,0
1972,0
1973,0
1974,0
1975,5
1976,6
1977,6
1978,0
1979,0
1980,0
1981,0
1982,7
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
