year,Alinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,8
1939,8
1940,8
1941,9
1942,17
1943,9
1944,11
1945,12
1946,19
1947,19
1948,34
1949,21
1950,9
1951,22
1952,20
1953,16
1954,24
1955,15
1956,15
1957,9
1958,8
1959,14
1960,12
1961,9
1962,8
1963,12
1964,15
1965,8
1966,6
1967,10
1968,7
1969,9
1970,7
1971,9
1972,6
1973,11
1974,7
1975,0
1976,7
1977,0
1978,12
1979,7
1980,11
1981,5
1982,9
1983,5
1984,0
1985,0
1986,0
1987,7
1988,5
1989,0
1990,7
1991,6
1992,0
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,6
2000,0
2001,0
2002,0
2003,0
2004,7
2005,5
2006,0
2007,5
2008,0
2009,5
2010,0
2011,5
2012,5
