year,Ardella
1880,6
1881,7
1882,7
1883,9
1884,6
1885,6
1886,10
1887,0
1888,7
1889,6
1890,6
1891,13
1892,8
1893,6
1894,9
1895,10
1896,18
1897,16
1898,13
1899,14
1900,20
1901,22
1902,25
1903,14
1904,24
1905,27
1906,23
1907,23
1908,21
1909,28
1910,22
1911,31
1912,31
1913,48
1914,50
1915,67
1916,65
1917,72
1918,71
1919,58
1920,77
1921,92
1922,99
1923,91
1924,111
1925,94
1926,90
1927,97
1928,83
1929,73
1930,70
1931,68
1932,73
1933,75
1934,71
1935,70
1936,67
1937,79
1938,72
1939,60
1940,57
1941,44
1942,40
1943,49
1944,39
1945,25
1946,43
1947,34
1948,30
1949,26
1950,39
1951,37
1952,33
1953,32
1954,24
1955,27
1956,30
1957,30
1958,21
1959,22
1960,19
1961,23
1962,16
1963,20
1964,13
1965,10
1966,9
1967,14
1968,10
1969,10
1970,7
1971,12
1972,0
1973,10
1974,0
1975,5
1976,7
1977,5
1978,0
1979,6
1980,7
1981,11
1982,6
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,8
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
