year,Alfredo (F),Alfredo (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000028
1888,0.000000,0.000000
1889,0.000000,0.000024
1890,0.000000,0.000017
1891,0.000000,0.000017
1892,0.000000,0.000015
1893,0.000000,0.000018
1894,0.000000,0.000021
1895,0.000000,0.000028
1896,0.000000,0.000028
1897,0.000000,0.000014
1898,0.000000,0.000029
1899,0.000000,0.000027
1900,0.000000,0.000024
1901,0.000000,0.000046
1902,0.000000,0.000039
1903,0.000000,0.000026
1904,0.000000,0.000047
1905,0.000000,0.000052
1906,0.000000,0.000033
1907,0.000000,0.000037
1908,0.000000,0.000057
1909,0.000000,0.000029
1910,0.000000,0.000059
1911,0.000000,0.000042
1912,0.000000,0.000046
1913,0.000000,0.000048
1914,0.000000,0.000057
1915,0.000000,0.000048
1916,0.000000,0.000064
1917,0.000000,0.000062
1918,0.000000,0.000058
1919,0.000000,0.000063
1920,0.000000,0.000049
1921,0.000000,0.000068
1922,0.000000,0.000074
1923,0.000000,0.000081
1924,0.000000,0.000086
1925,0.000000,0.000088
1926,0.000002,0.000092
1927,0.000000,0.000103
1928,0.000000,0.000124
1929,0.000000,0.000124
1930,0.000000,0.000120
1931,0.000000,0.000098
1932,0.000000,0.000105
1933,0.000000,0.000088
1934,0.000000,0.000085
1935,0.000000,0.000095
1936,0.000000,0.000084
1937,0.000000,0.000084
1938,0.000000,0.000077
1939,0.000000,0.000077
1940,0.000000,0.000073
1941,0.000000,0.000087
1942,0.000000,0.000072
1943,0.000000,0.000080
1944,0.000000,0.000091
1945,0.000000,0.000084
1946,0.000002,0.000090
1947,0.000000,0.000072
1948,0.000000,0.000090
1949,0.000000,0.000099
1950,0.000002,0.000092
1951,0.000000,0.000095
1952,0.000000,0.000101
1953,0.000002,0.000104
1954,0.000002,0.000103
1955,0.000000,0.000100
1956,0.000001,0.000102
1957,0.000000,0.000106
1958,0.000002,0.000107
1959,0.000000,0.000112
1960,0.000002,0.000116
1961,0.000001,0.000112
1962,0.000000,0.000117
1963,0.000000,0.000116
1964,0.000001,0.000136
1965,0.000002,0.000135
1966,0.000000,0.000149
1967,0.000002,0.000155
1968,0.000001,0.000146
1969,0.000001,0.000152
1970,0.000002,0.000159
1971,0.000003,0.000174
1972,0.000002,0.000188
1973,0.000002,0.000217
1974,0.000002,0.000214
1975,0.000000,0.000233
1976,0.000000,0.000214
1977,0.000003,0.000220
1978,0.000003,0.000221
1979,0.000003,0.000225
1980,0.000002,0.000238
1981,0.000003,0.000235
1982,0.000002,0.000222
1983,0.000001,0.000207
1984,0.000001,0.000194
1985,0.000002,0.000216
1986,0.000002,0.000227
1987,0.000003,0.000204
1988,0.000001,0.000217
1989,0.000003,0.000239
1990,0.000002,0.000246
1991,0.000002,0.000246
1992,0.000001,0.000273
1993,0.000002,0.000287
1994,0.000002,0.000268
1995,0.000001,0.000285
1996,0.000001,0.000283
1997,0.000000,0.000275
1998,0.000002,0.000260
1999,0.000001,0.000278
2000,0.000000,0.000264
2001,0.000000,0.000261
2002,0.000000,0.000257
2003,0.000000,0.000245
2004,0.000000,0.000241
2005,0.000000,0.000220
2006,0.000000,0.000237
2007,0.000000,0.000228
2008,0.000000,0.000200
2009,0.000000,0.000179
2010,0.000000,0.000155
2011,0.000000,0.000149
2012,0.000000,0.000148
