year,Adelbert
1880,28
1881,14
1882,14
1883,14
1884,17
1885,16
1886,5
1887,8
1888,10
1889,14
1890,15
1891,9
1892,8
1893,11
1894,9
1895,7
1896,16
1897,9
1898,12
1899,10
1900,7
1901,6
1902,10
1903,5
1904,18
1905,7
1906,15
1907,11
1908,10
1909,10
1910,21
1911,16
1912,30
1913,42
1914,56
1915,68
1916,65
1917,64
1918,86
1919,53
1920,53
1921,65
1922,59
1923,54
1924,68
1925,33
1926,61
1927,36
1928,42
1929,51
1930,39
1931,52
1932,50
1933,39
1934,31
1935,32
1936,31
1937,34
1938,20
1939,29
1940,24
1941,17
1942,26
1943,29
1944,19
1945,20
1946,20
1947,19
1948,19
1949,19
1950,20
1951,19
1952,9
1953,20
1954,18
1955,9
1956,8
1957,13
1958,12
1959,12
1960,9
1961,8
1962,16
1963,9
1964,9
1965,7
1966,5
1967,11
1968,14
1969,10
1970,10
1971,16
1972,15
1973,19
1974,10
1975,11
1976,5
1977,12
1978,7
1979,7
1980,11
1981,0
1982,8
1983,8
1984,0
1985,5
1986,0
1987,5
1988,7
1989,6
1990,5
1991,5
1992,10
1993,0
1994,12
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
