year,Annis
1880,7
1881,5
1882,5
1883,13
1884,8
1885,7
1886,13
1887,10
1888,16
1889,16
1890,8
1891,19
1892,16
1893,24
1894,16
1895,17
1896,20
1897,26
1898,27
1899,20
1900,36
1901,16
1902,25
1903,28
1904,27
1905,24
1906,30
1907,22
1908,25
1909,22
1910,33
1911,24
1912,50
1913,38
1914,47
1915,73
1916,58
1917,86
1918,77
1919,69
1920,82
1921,74
1922,53
1923,62
1924,54
1925,62
1926,61
1927,65
1928,47
1929,46
1930,48
1931,51
1932,58
1933,44
1934,47
1935,39
1936,54
1937,49
1938,55
1939,42
1940,51
1941,46
1942,46
1943,39
1944,29
1945,34
1946,43
1947,37
1948,46
1949,26
1950,23
1951,43
1952,34
1953,14
1954,15
1955,16
1956,16
1957,11
1958,18
1959,18
1960,11
1961,11
1962,13
1963,5
1964,20
1965,0
1966,7
1967,8
1968,0
1969,0
1970,10
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,8
1983,0
1984,0
1985,0
1986,0
1987,5
1988,0
1989,5
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
