year,America
1880,16
1881,11
1882,13
1883,14
1884,12
1885,18
1886,14
1887,15
1888,17
1889,20
1890,15
1891,21
1892,16
1893,12
1894,10
1895,12
1896,16
1897,8
1898,20
1899,24
1900,15
1901,11
1902,16
1903,17
1904,10
1905,18
1906,13
1907,16
1908,15
1909,19
1910,12
1911,19
1912,23
1913,26
1914,29
1915,36
1916,23
1917,22
1918,50
1919,39
1920,34
1921,36
1922,46
1923,37
1924,36
1925,24
1926,26
1927,16
1928,25
1929,32
1930,24
1931,22
1932,21
1933,18
1934,9
1935,9
1936,15
1937,12
1938,14
1939,27
1940,19
1941,19
1942,13
1943,16
1944,13
1945,9
1946,14
1947,16
1948,13
1949,11
1950,12
1951,17
1952,17
1953,19
1954,8
1955,15
1956,11
1957,22
1958,6
1959,20
1960,23
1961,13
1962,18
1963,16
1964,21
1965,19
1966,24
1967,25
1968,25
1969,24
1970,36
1971,36
1972,42
1973,34
1974,50
1975,52
1976,79
1977,58
1978,39
1979,64
1980,57
1981,56
1982,38
1983,56
1984,44
1985,48
1986,55
1987,49
1988,75
1989,88
1990,74
1991,87
1992,98
1993,116
1994,118
1995,115
1996,134
1997,134
1998,230
1999,247
2000,324
2001,512
2002,704
2003,563
2004,612
2005,718
2006,687
2007,700
2008,614
2009,542
2010,441
2011,329
2012,288
