year,Aleshia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,6
1958,0
1959,14
1960,21
1961,14
1962,19
1963,27
1964,28
1965,29
1966,18
1967,23
1968,31
1969,38
1970,27
1971,38
1972,53
1973,40
1974,45
1975,50
1976,57
1977,64
1978,65
1979,84
1980,85
1981,73
1982,88
1983,110
1984,82
1985,102
1986,106
1987,108
1988,126
1989,120
1990,130
1991,149
1992,102
1993,75
1994,71
1995,62
1996,69
1997,46
1998,43
1999,33
2000,36
2001,24
2002,23
2003,22
2004,22
2005,23
2006,15
2007,19
2008,14
2009,11
2010,10
2011,7
2012,5
