year,Alf
1880,7
1881,5
1882,6
1883,15
1884,7
1885,5
1886,9
1887,8
1888,10
1889,12
1890,10
1891,11
1892,10
1893,11
1894,6
1895,6
1896,9
1897,10
1898,5
1899,0
1900,8
1901,12
1902,5
1903,5
1904,10
1905,8
1906,9
1907,11
1908,9
1909,6
1910,6
1911,19
1912,22
1913,20
1914,27
1915,34
1916,38
1917,36
1918,32
1919,36
1920,26
1921,27
1922,18
1923,27
1924,34
1925,18
1926,17
1927,25
1928,18
1929,21
1930,19
1931,18
1932,17
1933,18
1934,16
1935,12
1936,18
1937,14
1938,13
1939,12
1940,0
1941,7
1942,14
1943,7
1944,9
1945,6
1946,9
1947,13
1948,6
1949,17
1950,9
1951,6
1952,10
1953,7
1954,11
1955,0
1956,8
1957,5
1958,0
1959,9
1960,8
1961,5
1962,5
1963,0
1964,9
1965,0
1966,0
1967,5
1968,5
1969,5
1970,0
1971,5
1972,6
1973,0
1974,8
1975,8
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
