year,Aram
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,7
1914,9
1915,19
1916,12
1917,19
1918,0
1919,11
1920,8
1921,16
1922,28
1923,24
1924,19
1925,11
1926,14
1927,11
1928,19
1929,19
1930,15
1931,10
1932,16
1933,7
1934,5
1935,11
1936,6
1937,11
1938,0
1939,7
1940,6
1941,0
1942,9
1943,5
1944,8
1945,0
1946,5
1947,0
1948,0
1949,6
1950,8
1951,8
1952,5
1953,9
1954,8
1955,7
1956,7
1957,9
1958,20
1959,10
1960,12
1961,16
1962,11
1963,15
1964,14
1965,14
1966,16
1967,14
1968,16
1969,30
1970,25
1971,20
1972,26
1973,34
1974,14
1975,19
1976,24
1977,23
1978,33
1979,40
1980,31
1981,31
1982,31
1983,27
1984,42
1985,39
1986,31
1987,29
1988,31
1989,34
1990,30
1991,30
1992,36
1993,38
1994,44
1995,44
1996,41
1997,49
1998,41
1999,47
2000,49
2001,53
2002,59
2003,47
2004,59
2005,61
2006,54
2007,63
2008,41
2009,53
2010,43
2011,53
2012,55
