year,Alban
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,6
1914,13
1915,19
1916,12
1917,6
1918,12
1919,11
1920,10
1921,17
1922,16
1923,17
1924,19
1925,12
1926,17
1927,9
1928,10
1929,8
1930,13
1931,11
1932,6
1933,7
1934,6
1935,5
1936,11
1937,0
1938,0
1939,12
1940,7
1941,6
1942,0
1943,8
1944,5
1945,0
1946,7
1947,5
1948,6
1949,9
1950,5
1951,6
1952,9
1953,8
1954,9
1955,5
1956,6
1957,0
1958,0
1959,6
1960,8
1961,0
1962,8
1963,5
1964,7
1965,8
1966,5
1967,6
1968,6
1969,6
1970,5
1971,5
1972,7
1973,0
1974,0
1975,6
1976,0
1977,0
1978,0
1979,0
1980,0
1981,7
1982,0
1983,6
1984,0
1985,6
1986,8
1987,12
1988,9
1989,9
1990,19
1991,12
1992,16
1993,14
1994,10
1995,16
1996,15
1997,10
1998,16
1999,22
2000,13
2001,16
2002,12
2003,12
2004,24
2005,13
2006,10
2007,21
2008,14
2009,0
2010,10
2011,12
2012,25
