year,Aretta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,8
1908,15
1909,11
1910,10
1911,9
1912,17
1913,24
1914,24
1915,24
1916,23
1917,21
1918,27
1919,31
1920,29
1921,28
1922,27
1923,33
1924,32
1925,29
1926,25
1927,22
1928,19
1929,28
1930,23
1931,22
1932,21
1933,25
1934,16
1935,13
1936,20
1937,20
1938,23
1939,17
1940,15
1941,13
1942,15
1943,12
1944,14
1945,13
1946,17
1947,19
1948,13
1949,18
1950,16
1951,11
1952,10
1953,12
1954,9
1955,18
1956,16
1957,15
1958,9
1959,14
1960,9
1961,11
1962,13
1963,6
1964,8
1965,15
1966,11
1967,5
1968,7
1969,8
1970,7
1971,12
1972,0
1973,8
1974,0
1975,0
1976,6
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,6
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
