year,Alease
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,6
1899,0
1900,8
1901,0
1902,0
1903,11
1904,9
1905,9
1906,8
1907,10
1908,9
1909,21
1910,17
1911,8
1912,21
1913,32
1914,24
1915,36
1916,33
1917,39
1918,43
1919,53
1920,48
1921,48
1922,52
1923,54
1924,54
1925,57
1926,52
1927,52
1928,48
1929,33
1930,27
1931,41
1932,39
1933,35
1934,29
1935,16
1936,22
1937,30
1938,22
1939,22
1940,21
1941,17
1942,21
1943,11
1944,25
1945,16
1946,16
1947,26
1948,21
1949,20
1950,21
1951,17
1952,18
1953,13
1954,14
1955,16
1956,9
1957,15
1958,13
1959,14
1960,9
1961,13
1962,9
1963,15
1964,13
1965,9
1966,10
1967,7
1968,6
1969,10
1970,8
1971,11
1972,8
1973,6
1974,0
1975,5
1976,0
1977,0
1978,0
1979,11
1980,5
1981,5
1982,9
1983,5
1984,0
1985,0
1986,11
1987,0
1988,11
1989,11
1990,7
1991,12
1992,12
1993,5
1994,0
1995,5
1996,7
1997,0
1998,7
1999,6
2000,5
2001,0
2002,6
2003,0
2004,0
2005,0
2006,5
2007,7
2008,0
2009,0
2010,0
2011,0
2012,5
