year,Adeline (F),Adeline (M)
1880,0.000268,0.000000
1881,0.000301,0.000000
1882,0.000316,0.000000
1883,0.000378,0.000000
1884,0.000460,0.000000
1885,0.000357,0.000000
1886,0.000333,0.000000
1887,0.000416,0.000000
1888,0.000427,0.000000
1889,0.000533,0.000000
1890,0.000498,0.000000
1891,0.000460,0.000000
1892,0.000443,0.000000
1893,0.000434,0.000000
1894,0.000514,0.000000
1895,0.000513,0.000000
1896,0.000523,0.000000
1897,0.000496,0.000000
1898,0.000558,0.000000
1899,0.000590,0.000000
1900,0.000526,0.000000
1901,0.000555,0.000000
1902,0.000621,0.000000
1903,0.000556,0.000000
1904,0.000642,0.000000
1905,0.000557,0.000000
1906,0.000616,0.000000
1907,0.000677,0.000000
1908,0.000708,0.000000
1909,0.000675,0.000000
1910,0.000669,0.000000
1911,0.000641,0.000000
1912,0.000577,0.000000
1913,0.000587,0.000000
1914,0.000620,0.000000
1915,0.000599,0.000000
1916,0.000604,0.000000
1917,0.000615,0.000000
1918,0.000599,0.000000
1919,0.000598,0.000000
1920,0.000557,0.000000
1921,0.000534,0.000002
1922,0.000474,0.000002
1923,0.000468,0.000000
1924,0.000479,0.000000
1925,0.000438,0.000000
1926,0.000411,0.000000
1927,0.000348,0.000000
1928,0.000319,0.000002
1929,0.000280,0.000000
1930,0.000250,0.000000
1931,0.000233,0.000000
1932,0.000220,0.000000
1933,0.000186,0.000000
1934,0.000157,0.000000
1935,0.000135,0.000000
1936,0.000127,0.000000
1937,0.000115,0.000000
1938,0.000108,0.000000
1939,0.000097,0.000000
1940,0.000088,0.000000
1941,0.000078,0.000000
1942,0.000063,0.000000
1943,0.000062,0.000000
1944,0.000064,0.000000
1945,0.000051,0.000000
1946,0.000051,0.000000
1947,0.000042,0.000000
1948,0.000039,0.000000
1949,0.000037,0.000000
1950,0.000032,0.000000
1951,0.000028,0.000000
1952,0.000031,0.000000
1953,0.000024,0.000000
1954,0.000023,0.000000
1955,0.000019,0.000000
1956,0.000022,0.000000
1957,0.000016,0.000000
1958,0.000020,0.000000
1959,0.000016,0.000000
1960,0.000018,0.000000
1961,0.000015,0.000000
1962,0.000016,0.000000
1963,0.000016,0.000000
1964,0.000015,0.000000
1965,0.000012,0.000000
1966,0.000015,0.000000
1967,0.000012,0.000000
1968,0.000011,0.000000
1969,0.000010,0.000000
1970,0.000011,0.000000
1971,0.000009,0.000000
1972,0.000009,0.000000
1973,0.000011,0.000000
1974,0.000013,0.000000
1975,0.000015,0.000000
1976,0.000008,0.000000
1977,0.000010,0.000000
1978,0.000013,0.000000
1979,0.000010,0.000000
1980,0.000012,0.000000
1981,0.000015,0.000000
1982,0.000011,0.000000
1983,0.000012,0.000000
1984,0.000011,0.000000
1985,0.000015,0.000000
1986,0.000013,0.000000
1987,0.000015,0.000000
1988,0.000015,0.000000
1989,0.000018,0.000000
1990,0.000014,0.000000
1991,0.000019,0.000000
1992,0.000018,0.000000
1993,0.000020,0.000000
1994,0.000027,0.000000
1995,0.000029,0.000000
1996,0.000035,0.000000
1997,0.000044,0.000000
1998,0.000049,0.000000
1999,0.000062,0.000000
2000,0.000075,0.000000
2001,0.000086,0.000000
2002,0.000097,0.000000
2003,0.000106,0.000000
2004,0.000126,0.000000
2005,0.000136,0.000000
2006,0.000171,0.000000
2007,0.000210,0.000000
2008,0.000232,0.000000
2009,0.000242,0.000000
2010,0.000268,0.000000
2011,0.000302,0.000000
2012,0.000368,0.000000
2013,0.000378,0.000001
2014,0.000413,0.000000
2015,0.000652,0.000000
2016,0.001124,0.000002
2017,0.001101,0.000000
2018,0.000993,0.000000
2019,0.000887,0.000000
2020,0.000815,0.000000
