year,Armandina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,8
1924,0
1925,6
1926,0
1927,6
1928,11
1929,15
1930,0
1931,10
1932,18
1933,13
1934,13
1935,15
1936,15
1937,10
1938,11
1939,10
1940,14
1941,6
1942,12
1943,6
1944,18
1945,20
1946,20
1947,14
1948,14
1949,23
1950,16
1951,10
1952,22
1953,15
1954,24
1955,17
1956,9
1957,16
1958,22
1959,12
1960,15
1961,13
1962,14
1963,15
1964,12
1965,12
1966,13
1967,10
1968,13
1969,13
1970,7
1971,20
1972,16
1973,9
1974,10
1975,10
1976,8
1977,5
1978,7
1979,10
1980,9
1981,0
1982,7
1983,0
1984,7
1985,6
1986,7
1987,5
1988,9
1989,0
1990,5
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
