year,Ambrose (F),Ambrose (M)
1880,0.000000,0.000159
1881,0.000000,0.000223
1882,0.000000,0.000172
1883,0.000000,0.000166
1884,0.000000,0.000148
1885,0.000000,0.000133
1886,0.000000,0.000118
1887,0.000000,0.000117
1888,0.000000,0.000137
1889,0.000000,0.000093
1890,0.000000,0.000123
1891,0.000000,0.000094
1892,0.000000,0.000093
1893,0.000000,0.000160
1894,0.000000,0.000100
1895,0.000000,0.000108
1896,0.000000,0.000117
1897,0.000000,0.000107
1898,0.000000,0.000113
1899,0.000000,0.000083
1900,0.000000,0.000104
1901,0.000000,0.000101
1902,0.000000,0.000067
1903,0.000000,0.000084
1904,0.000000,0.000084
1905,0.000000,0.000057
1906,0.000000,0.000077
1907,0.000000,0.000058
1908,0.000000,0.000051
1909,0.000000,0.000080
1910,0.000000,0.000081
1911,0.000000,0.000065
1912,0.000000,0.000099
1913,0.000000,0.000107
1914,0.000000,0.000104
1915,0.000000,0.000102
1916,0.000000,0.000093
1917,0.000000,0.000099
1918,0.000000,0.000088
1919,0.000000,0.000089
1920,0.000000,0.000092
1921,0.000000,0.000084
1922,0.000000,0.000074
1923,0.000000,0.000069
1924,0.000000,0.000070
1925,0.000000,0.000071
1926,0.000000,0.000068
1927,0.000000,0.000048
1928,0.000000,0.000054
1929,0.000000,0.000047
1930,0.000000,0.000047
1931,0.000000,0.000034
1932,0.000000,0.000049
1933,0.000000,0.000042
1934,0.000000,0.000036
1935,0.000000,0.000038
1936,0.000000,0.000038
1937,0.000000,0.000030
1938,0.000000,0.000030
1939,0.000000,0.000025
1940,0.000000,0.000028
1941,0.000000,0.000019
1942,0.000000,0.000031
1943,0.000000,0.000029
1944,0.000000,0.000025
1945,0.000000,0.000017
1946,0.000000,0.000014
1947,0.000000,0.000016
1948,0.000000,0.000019
1949,0.000000,0.000013
1950,0.000000,0.000011
1951,0.000000,0.000012
1952,0.000000,0.000015
1953,0.000000,0.000014
1954,0.000000,0.000016
1955,0.000000,0.000012
1956,0.000000,0.000011
1957,0.000000,0.000011
1958,0.000000,0.000012
1959,0.000000,0.000011
1960,0.000000,0.000012
1961,0.000000,0.000009
1962,0.000000,0.000014
1963,0.000000,0.000010
1964,0.000000,0.000013
1965,0.000000,0.000012
1966,0.000000,0.000008
1967,0.000000,0.000006
1968,0.000000,0.000014
1969,0.000000,0.000007
1970,0.000000,0.000008
1971,0.000000,0.000009
1972,0.000000,0.000010
1973,0.000000,0.000009
1974,0.000000,0.000010
1975,0.000000,0.000015
1976,0.000000,0.000009
1977,0.000000,0.000011
1978,0.000000,0.000010
1979,0.000000,0.000011
1980,0.000000,0.000010
1981,0.000000,0.000010
1982,0.000000,0.000008
1983,0.000000,0.000011
1984,0.000000,0.000007
1985,0.000000,0.000011
1986,0.000000,0.000011
1987,0.000000,0.000011
1988,0.000000,0.000011
1989,0.000000,0.000009
1990,0.000000,0.000010
1991,0.000000,0.000012
1992,0.000000,0.000009
1993,0.000000,0.000011
1994,0.000000,0.000007
1995,0.000000,0.000008
1996,0.000000,0.000008
1997,0.000000,0.000010
1998,0.000000,0.000008
1999,0.000000,0.000008
2000,0.000000,0.000011
2001,0.000000,0.000007
2002,0.000000,0.000011
2003,0.000000,0.000011
2004,0.000000,0.000013
2005,0.000000,0.000013
2006,0.000000,0.000015
2007,0.000000,0.000015
2008,0.000000,0.000017
2009,0.000000,0.000014
2010,0.000000,0.000016
2011,0.000000,0.000015
2012,0.000000,0.000021
2013,0.000000,0.000026
2014,0.000000,0.000024
2015,0.000000,0.000027
2016,0.000000,0.000026
2017,0.000000,0.000027
2018,0.000000,0.000033
2019,0.000002,0.000064
2020,0.000000,0.000084
