year,Aletha
1880,0
1881,5
1882,0
1883,6
1884,10
1885,8
1886,12
1887,9
1888,9
1889,15
1890,7
1891,12
1892,13
1893,11
1894,18
1895,14
1896,19
1897,25
1898,19
1899,22
1900,25
1901,25
1902,20
1903,21
1904,32
1905,29
1906,34
1907,25
1908,28
1909,37
1910,38
1911,40
1912,52
1913,66
1914,78
1915,91
1916,111
1917,100
1918,113
1919,130
1920,139
1921,136
1922,142
1923,145
1924,138
1925,102
1926,95
1927,87
1928,71
1929,76
1930,67
1931,72
1932,76
1933,86
1934,70
1935,65
1936,53
1937,74
1938,63
1939,60
1940,48
1941,61
1942,56
1943,55
1944,43
1945,54
1946,59
1947,66
1948,71
1949,79
1950,63
1951,78
1952,82
1953,96
1954,91
1955,111
1956,92
1957,87
1958,99
1959,80
1960,78
1961,84
1962,85
1963,99
1964,84
1965,89
1966,93
1967,73
1968,95
1969,86
1970,89
1971,76
1972,66
1973,80
1974,86
1975,52
1976,50
1977,73
1978,55
1979,54
1980,53
1981,54
1982,54
1983,35
1984,47
1985,40
1986,34
1987,23
1988,21
1989,19
1990,22
1991,32
1992,23
1993,14
1994,16
1995,14
1996,18
1997,15
1998,14
1999,18
2000,19
2001,15
2002,14
2003,14
2004,11
2005,9
2006,8
2007,10
2008,12
2009,16
2010,0
2011,11
2012,9
