year,Albertina
1880,7
1881,0
1882,6
1883,8
1884,5
1885,7
1886,8
1887,7
1888,11
1889,9
1890,0
1891,11
1892,6
1893,14
1894,14
1895,5
1896,12
1897,10
1898,15
1899,10
1900,7
1901,8
1902,11
1903,0
1904,12
1905,12
1906,10
1907,10
1908,17
1909,15
1910,16
1911,11
1912,16
1913,16
1914,27
1915,24
1916,34
1917,36
1918,36
1919,28
1920,34
1921,36
1922,40
1923,27
1924,23
1925,33
1926,28
1927,26
1928,22
1929,22
1930,18
1931,16
1932,13
1933,17
1934,14
1935,18
1936,9
1937,0
1938,12
1939,11
1940,10
1941,11
1942,10
1943,9
1944,10
1945,11
1946,18
1947,7
1948,13
1949,0
1950,8
1951,0
1952,7
1953,9
1954,5
1955,12
1956,13
1957,11
1958,11
1959,21
1960,10
1961,16
1962,11
1963,20
1964,14
1965,26
1966,15
1967,13
1968,23
1969,22
1970,17
1971,24
1972,23
1973,22
1974,17
1975,24
1976,17
1977,12
1978,6
1979,10
1980,5
1981,7
1982,19
1983,13
1984,10
1985,11
1986,5
1987,6
1988,9
1989,8
1990,11
1991,10
1992,5
1993,11
1994,5
1995,0
1996,5
1997,10
1998,0
1999,5
2000,0
2001,5
2002,0
2003,0
2004,7
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
