year,Ana (F),Ana (M)
1880,0.000025,0.000000
1881,0.000047,0.000000
1882,0.000032,0.000000
1883,0.000032,0.000000
1884,0.000053,0.000000
1885,0.000025,0.000000
1886,0.000039,0.000000
1887,0.000000,0.000000
1888,0.000040,0.000000
1889,0.000031,0.000000
1890,0.000053,0.000000
1891,0.000028,0.000000
1892,0.000021,0.000000
1893,0.000031,0.000000
1894,0.000030,0.000000
1895,0.000028,0.000000
1896,0.000034,0.000000
1897,0.000023,0.000000
1898,0.000042,0.000000
1899,0.000038,0.000000
1900,0.000040,0.000000
1901,0.000017,0.000000
1902,0.000041,0.000000
1903,0.000039,0.000000
1904,0.000022,0.000000
1905,0.000061,0.000000
1906,0.000042,0.000000
1907,0.000045,0.000000
1908,0.000031,0.000000
1909,0.000025,0.000000
1910,0.000019,0.000000
1911,0.000053,0.000000
1912,0.000024,0.000000
1913,0.000020,0.000000
1914,0.000023,0.000000
1915,0.000023,0.000000
1916,0.000018,0.000000
1917,0.000025,0.000000
1918,0.000026,0.000000
1919,0.000027,0.000000
1920,0.000029,0.000000
1921,0.000029,0.000000
1922,0.000029,0.000000
1923,0.000028,0.000000
1924,0.000026,0.000000
1925,0.000026,0.000000
1926,0.000031,0.000000
1927,0.000038,0.000000
1928,0.000036,0.000000
1929,0.000038,0.000000
1930,0.000045,0.000002
1931,0.000035,0.000000
1932,0.000032,0.000000
1933,0.000030,0.000000
1934,0.000040,0.000000
1935,0.000037,0.000000
1936,0.000039,0.000000
1937,0.000030,0.000000
1938,0.000036,0.000000
1939,0.000032,0.000000
1940,0.000029,0.000000
1941,0.000032,0.000000
1942,0.000033,0.000000
1943,0.000038,0.000000
1944,0.000042,0.000000
1945,0.000046,0.000000
1946,0.000042,0.000000
1947,0.000046,0.000000
1948,0.000065,0.000002
1949,0.000066,0.000000
1950,0.000064,0.000000
1951,0.000070,0.000000
1952,0.000075,0.000000
1953,0.000084,0.000000
1954,0.000097,0.000000
1955,0.000096,0.000000
1956,0.000113,0.000000
1957,0.000113,0.000001
1958,0.000131,0.000000
1959,0.000139,0.000001
1960,0.000149,0.000000
1961,0.000157,0.000000
1962,0.000170,0.000000
1963,0.000193,0.000002
1964,0.000194,0.000002
1965,0.000224,0.000000
1966,0.000236,0.000000
1967,0.000248,0.000000
1968,0.000273,0.000002
1969,0.000276,0.000003
1970,0.000290,0.000003
1971,0.000310,0.000002
1972,0.000345,0.000003
1973,0.000363,0.000004
1974,0.000386,0.000003
1975,0.000384,0.000005
1976,0.000383,0.000003
1977,0.000357,0.000004
1978,0.000358,0.000005
1979,0.000341,0.000003
1980,0.000384,0.000004
1981,0.000416,0.000004
1982,0.000387,0.000005
1983,0.000378,0.000007
1984,0.000398,0.000004
1985,0.000412,0.000006
1986,0.000460,0.000006
1987,0.000457,0.000004
1988,0.000450,0.000006
1989,0.000591,0.000008
1990,0.000660,0.000010
1991,0.000680,0.000005
1992,0.000606,0.000006
1993,0.000627,0.000007
1994,0.000595,0.000004
1995,0.000644,0.000004
1996,0.000633,0.000003
1997,0.000639,0.000003
1998,0.000614,0.000002
1999,0.000572,0.000002
2000,0.000641,0.000002
2001,0.000672,0.000003
2002,0.000678,0.000002
2003,0.000682,0.000000
2004,0.000614,0.000002
2005,0.000613,0.000003
2006,0.000610,0.000002
2007,0.000556,0.000000
2008,0.000497,0.000002
2009,0.000477,0.000002
2010,0.000426,0.000000
2011,0.000363,0.000000
2012,0.000398,0.000000
2013,0.000368,0.000000
