year,Adella
1880,26
1881,16
1882,18
1883,16
1884,16
1885,26
1886,12
1887,13
1888,19
1889,30
1890,29
1891,23
1892,26
1893,32
1894,31
1895,30
1896,18
1897,25
1898,30
1899,19
1900,33
1901,31
1902,22
1903,26
1904,25
1905,34
1906,31
1907,29
1908,45
1909,32
1910,33
1911,46
1912,67
1913,73
1914,81
1915,106
1916,123
1917,110
1918,135
1919,141
1920,143
1921,113
1922,109
1923,97
1924,117
1925,116
1926,100
1927,71
1928,81
1929,66
1930,66
1931,61
1932,66
1933,52
1934,52
1935,48
1936,55
1937,43
1938,39
1939,42
1940,43
1941,38
1942,45
1943,30
1944,26
1945,33
1946,38
1947,38
1948,49
1949,31
1950,31
1951,43
1952,38
1953,45
1954,34
1955,32
1956,35
1957,39
1958,28
1959,25
1960,36
1961,32
1962,27
1963,23
1964,27
1965,16
1966,20
1967,20
1968,19
1969,15
1970,21
1971,18
1972,16
1973,9
1974,16
1975,19
1976,17
1977,11
1978,12
1979,23
1980,10
1981,15
1982,11
1983,13
1984,7
1985,10
1986,10
1987,6
1988,20
1989,10
1990,13
1991,9
1992,14
1993,10
1994,7
1995,14
1996,11
1997,9
1998,19
1999,10
2000,16
2001,18
2002,17
2003,20
2004,27
2005,29
2006,37
2007,27
2008,42
2009,46
2010,65
2011,71
2012,94
