year,Augustine (F),Augustine (M)
1880,0.000030,0.000060
1881,0.000000,0.000031
1882,0.000036,0.000036
1883,0.000028,0.000041
1884,0.000000,0.000041
1885,0.000000,0.000050
1886,0.000031,0.000051
1887,0.000028,0.000000
1888,0.000030,0.000030
1889,0.000031,0.000028
1890,0.000046,0.000043
1891,0.000035,0.000024
1892,0.000045,0.000018
1893,0.000040,0.000031
1894,0.000021,0.000018
1895,0.000048,0.000020
1896,0.000050,0.000031
1897,0.000032,0.000035
1898,0.000037,0.000037
1899,0.000044,0.000024
1900,0.000053,0.000027
1901,0.000040,0.000038
1902,0.000049,0.000036
1903,0.000031,0.000037
1904,0.000052,0.000020
1905,0.000050,0.000031
1906,0.000054,0.000051
1907,0.000060,0.000032
1908,0.000037,0.000035
1909,0.000059,0.000027
1910,0.000042,0.000030
1911,0.000033,0.000050
1912,0.000033,0.000056
1913,0.000034,0.000067
1914,0.000027,0.000056
1915,0.000025,0.000049
1916,0.000025,0.000050
1917,0.000027,0.000057
1918,0.000033,0.000064
1919,0.000030,0.000059
1920,0.000029,0.000064
1921,0.000034,0.000067
1922,0.000032,0.000066
1923,0.000033,0.000068
1924,0.000029,0.000061
1925,0.000036,0.000062
1926,0.000029,0.000067
1927,0.000028,0.000069
1928,0.000027,0.000065
1929,0.000028,0.000063
1930,0.000023,0.000055
1931,0.000017,0.000056
1932,0.000029,0.000062
1933,0.000031,0.000058
1934,0.000035,0.000057
1935,0.000021,0.000051
1936,0.000025,0.000043
1937,0.000022,0.000041
1938,0.000024,0.000045
1939,0.000024,0.000034
1940,0.000017,0.000041
1941,0.000019,0.000036
1942,0.000018,0.000035
1943,0.000016,0.000035
1944,0.000020,0.000035
1945,0.000015,0.000035
1946,0.000015,0.000028
1947,0.000016,0.000032
1948,0.000015,0.000031
1949,0.000016,0.000031
1950,0.000014,0.000031
1951,0.000010,0.000026
1952,0.000012,0.000023
1953,0.000011,0.000026
1954,0.000009,0.000025
1955,0.000010,0.000026
1956,0.000011,0.000025
1957,0.000011,0.000023
1958,0.000006,0.000023
1959,0.000006,0.000030
1960,0.000006,0.000022
1961,0.000005,0.000024
1962,0.000006,0.000022
1963,0.000005,0.000022
1964,0.000006,0.000028
1965,0.000005,0.000026
1966,0.000003,0.000025
1967,0.000003,0.000022
1968,0.000004,0.000026
1969,0.000003,0.000025
1970,0.000004,0.000025
1971,0.000003,0.000034
1972,0.000004,0.000032
1973,0.000003,0.000031
1974,0.000002,0.000029
1975,0.000002,0.000028
1976,0.000003,0.000028
1977,0.000004,0.000029
1978,0.000002,0.000028
1979,0.000005,0.000028
1980,0.000002,0.000031
1981,0.000004,0.000027
1982,0.000000,0.000029
1983,0.000003,0.000022
1984,0.000002,0.000027
1985,0.000002,0.000022
1986,0.000000,0.000028
1987,0.000002,0.000021
1988,0.000002,0.000024
1989,0.000002,0.000024
1990,0.000002,0.000021
1991,0.000002,0.000028
1992,0.000002,0.000024
1993,0.000000,0.000023
1994,0.000000,0.000026
1995,0.000003,0.000029
1996,0.000003,0.000024
1997,0.000003,0.000032
1998,0.000003,0.000029
1999,0.000002,0.000032
2000,0.000002,0.000031
2001,0.000003,0.000036
2002,0.000003,0.000031
2003,0.000002,0.000036
2004,0.000003,0.000037
2005,0.000004,0.000036
2006,0.000005,0.000032
2007,0.000006,0.000042
2008,0.000002,0.000039
2009,0.000003,0.000043
2010,0.000003,0.000051
2011,0.000004,0.000043
2012,0.000005,0.000054
2013,0.000005,0.000057
2014,0.000005,0.000059
2015,0.000007,0.000075
2016,0.000007,0.000092
2017,0.000005,0.000084
2018,0.000006,0.000087
2019,0.000003,0.000096
2020,0.000005,0.000106
