year,Allean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,0
1891,0
1892,5
1893,5
1894,5
1895,7
1896,9
1897,0
1898,9
1899,0
1900,14
1901,13
1902,9
1903,13
1904,8
1905,10
1906,14
1907,9
1908,19
1909,20
1910,19
1911,23
1912,29
1913,24
1914,36
1915,31
1916,41
1917,31
1918,31
1919,43
1920,26
1921,41
1922,47
1923,44
1924,48
1925,37
1926,47
1927,30
1928,31
1929,45
1930,20
1931,28
1932,31
1933,25
1934,30
1935,27
1936,26
1937,25
1938,25
1939,20
1940,17
1941,20
1942,23
1943,9
1944,22
1945,27
1946,18
1947,17
1948,18
1949,14
1950,18
1951,15
1952,20
1953,14
1954,14
1955,11
1956,12
1957,5
1958,0
1959,8
1960,0
1961,5
1962,12
1963,10
1964,5
1965,5
1966,6
1967,0
1968,5
1969,5
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
