year,Adolph (F),Adolph (M)
1880,0.000000,0.000462
1881,0.000000,0.000467
1882,0.000000,0.000424
1883,0.000000,0.000530
1884,0.000000,0.000439
1885,0.000000,0.000423
1886,0.000000,0.000372
1887,0.000000,0.000364
1888,0.000000,0.000357
1889,0.000000,0.000350
1890,0.000000,0.000338
1891,0.000000,0.000283
1892,0.000000,0.000344
1893,0.000000,0.000366
1894,0.000000,0.000275
1895,0.000000,0.000245
1896,0.000000,0.000260
1897,0.000000,0.000265
1898,0.000000,0.000220
1899,0.000000,0.000236
1900,0.000000,0.000260
1901,0.000000,0.000231
1902,0.000000,0.000225
1903,0.000000,0.000239
1904,0.000000,0.000223
1905,0.000000,0.000203
1906,0.000000,0.000226
1907,0.000000,0.000193
1908,0.000000,0.000196
1909,0.000000,0.000209
1910,0.000000,0.000207
1911,0.000000,0.000250
1912,0.000000,0.000322
1913,0.000000,0.000339
1914,0.000000,0.000295
1915,0.000000,0.000348
1916,0.000000,0.000327
1917,0.000004,0.000335
1918,0.000000,0.000293
1919,0.000000,0.000255
1920,0.000000,0.000231
1921,0.000002,0.000225
1922,0.000000,0.000238
1923,0.000000,0.000224
1924,0.000000,0.000190
1925,0.000000,0.000182
1926,0.000000,0.000176
1927,0.000000,0.000177
1928,0.000000,0.000151
1929,0.000000,0.000152
1930,0.000003,0.000134
1931,0.000000,0.000138
1932,0.000000,0.000115
1933,0.000000,0.000111
1934,0.000000,0.000101
1935,0.000000,0.000093
1936,0.000000,0.000092
1937,0.000000,0.000090
1938,0.000000,0.000085
1939,0.000000,0.000073
1940,0.000000,0.000076
1941,0.000000,0.000071
1942,0.000000,0.000045
1943,0.000000,0.000045
1944,0.000000,0.000035
1945,0.000000,0.000044
1946,0.000000,0.000030
1947,0.000000,0.000029
1948,0.000000,0.000037
1949,0.000000,0.000035
1950,0.000000,0.000040
1951,0.000000,0.000032
1952,0.000000,0.000039
1953,0.000000,0.000040
1954,0.000000,0.000037
1955,0.000000,0.000038
1956,0.000000,0.000032
1957,0.000000,0.000032
1958,0.000000,0.000030
1959,0.000000,0.000029
1960,0.000000,0.000034
1961,0.000000,0.000024
1962,0.000000,0.000022
1963,0.000000,0.000021
1964,0.000000,0.000023
1965,0.000000,0.000019
1966,0.000000,0.000020
1967,0.000000,0.000022
1968,0.000000,0.000018
1969,0.000000,0.000015
1970,0.000000,0.000021
1971,0.000000,0.000013
1972,0.000000,0.000017
1973,0.000000,0.000020
1974,0.000000,0.000021
1975,0.000000,0.000015
1976,0.000000,0.000016
1977,0.000000,0.000013
1978,0.000000,0.000014
1979,0.000000,0.000013
1980,0.000000,0.000011
1981,0.000000,0.000012
1982,0.000000,0.000011
1983,0.000000,0.000012
1984,0.000000,0.000007
1985,0.000000,0.000006
1986,0.000000,0.000011
1987,0.000000,0.000010
1988,0.000000,0.000006
1989,0.000000,0.000007
1990,0.000000,0.000007
1991,0.000000,0.000005
1992,0.000000,0.000009
1993,0.000000,0.000006
1994,0.000000,0.000007
1995,0.000000,0.000006
1996,0.000000,0.000004
1997,0.000000,0.000006
1998,0.000000,0.000004
1999,0.000000,0.000004
2000,0.000000,0.000004
2001,0.000000,0.000003
2002,0.000000,0.000002
2003,0.000000,0.000002
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000003
2007,0.000000,0.000003
2008,0.000000,0.000002
2009,0.000000,0.000001
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000000
2013,0.000000,0.000002
2014,0.000000,0.000002
2015,0.000000,0.000000
2016,0.000000,0.000002
2017,0.000000,0.000002
2018,0.000000,0.000000
2019,0.000000,0.000001
2020,0.000000,0.000002
