year,Angeles
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,6
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,5
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,6
1949,0
1950,0
1951,5
1952,5
1953,7
1954,0
1955,9
1956,10
1957,8
1958,12
1959,0
1960,9
1961,9
1962,5
1963,10
1964,7
1965,16
1966,8
1967,12
1968,0
1969,12
1970,8
1971,11
1972,13
1973,9
1974,12
1975,8
1976,9
1977,0
1978,11
1979,10
1980,12
1981,10
1982,8
1983,14
1984,8
1985,13
1986,17
1987,8
1988,11
1989,17
1990,21
1991,28
1992,38
1993,48
1994,39
1995,53
1996,47
1997,75
1998,163
1999,115
2000,115
2001,129
2002,156
2003,258
2004,252
2005,190
2006,185
2007,139
2008,137
2009,109
2010,97
2011,70
2012,75
