year,Archie (F),Archie (M)
1880,0.000000,0.000908
1881,0.000000,0.000649
1882,0.000000,0.000880
1883,0.000000,0.000765
1884,0.000000,0.000846
1885,0.000000,0.000814
1886,0.000000,0.000685
1887,0.000020,0.000744
1888,0.000020,0.000638
1889,0.000000,0.000675
1890,0.000027,0.000733
1891,0.000028,0.000701
1892,0.000018,0.000640
1893,0.000025,0.000597
1894,0.000018,0.000611
1895,0.000000,0.000604
1896,0.000000,0.000643
1897,0.000017,0.000548
1898,0.000000,0.000582
1899,0.000018,0.000522
1900,0.000016,0.000480
1901,0.000017,0.000466
1902,0.000031,0.000481
1903,0.000018,0.000504
1904,0.000015,0.000458
1905,0.000017,0.000434
1906,0.000012,0.000504
1907,0.000021,0.000537
1908,0.000020,0.000456
1909,0.000016,0.000460
1910,0.000024,0.000449
1911,0.000009,0.000422
1912,0.000009,0.000502
1913,0.000016,0.000513
1914,0.000011,0.000458
1915,0.000015,0.000433
1916,0.000011,0.000417
1917,0.000014,0.000468
1918,0.000012,0.000512
1919,0.000014,0.000483
1920,0.000014,0.000458
1921,0.000012,0.000420
1922,0.000010,0.000446
1923,0.000015,0.000407
1924,0.000015,0.000435
1925,0.000014,0.000393
1926,0.000014,0.000401
1927,0.000019,0.000366
1928,0.000015,0.000380
1929,0.000012,0.000334
1930,0.000011,0.000346
1931,0.000015,0.000358
1932,0.000015,0.000339
1933,0.000009,0.000330
1934,0.000009,0.000317
1935,0.000009,0.000325
1936,0.000013,0.000312
1937,0.000015,0.000303
1938,0.000011,0.000262
1939,0.000009,0.000282
1940,0.000012,0.000261
1941,0.000008,0.000269
1942,0.000012,0.000249
1943,0.000007,0.000218
1944,0.000006,0.000231
1945,0.000006,0.000205
1946,0.000004,0.000194
1947,0.000004,0.000187
1948,0.000006,0.000191
1949,0.000005,0.000181
1950,0.000005,0.000158
1951,0.000006,0.000159
1952,0.000002,0.000156
1953,0.000003,0.000154
1954,0.000002,0.000136
1955,0.000003,0.000144
1956,0.000003,0.000132
1957,0.000002,0.000131
1958,0.000000,0.000113
1959,0.000002,0.000116
1960,0.000002,0.000108
1961,0.000001,0.000096
1962,0.000000,0.000096
1963,0.000003,0.000104
1964,0.000000,0.000101
1965,0.000000,0.000085
1966,0.000002,0.000087
1967,0.000000,0.000081
1968,0.000000,0.000093
1969,0.000002,0.000092
1970,0.000000,0.000094
1971,0.000002,0.000093
1972,0.000000,0.000085
1973,0.000000,0.000076
1974,0.000002,0.000071
1975,0.000000,0.000067
1976,0.000000,0.000067
1977,0.000000,0.000059
1978,0.000000,0.000060
1979,0.000000,0.000058
1980,0.000000,0.000051
1981,0.000000,0.000048
1982,0.000000,0.000045
1983,0.000000,0.000043
1984,0.000000,0.000041
1985,0.000000,0.000038
1986,0.000000,0.000035
1987,0.000000,0.000030
1988,0.000000,0.000031
1989,0.000000,0.000027
1990,0.000000,0.000027
1991,0.000000,0.000025
1992,0.000000,0.000023
1993,0.000000,0.000019
1994,0.000000,0.000025
1995,0.000000,0.000020
1996,0.000000,0.000019
1997,0.000000,0.000016
1998,0.000000,0.000013
1999,0.000000,0.000018
2000,0.000000,0.000013
2001,0.000000,0.000014
2002,0.000000,0.000015
2003,0.000000,0.000016
2004,0.000000,0.000018
2005,0.000000,0.000017
2006,0.000000,0.000017
2007,0.000000,0.000013
2008,0.000000,0.000019
2009,0.000000,0.000023
2010,0.000000,0.000021
2011,0.000000,0.000020
2012,0.000000,0.000026
2013,0.000000,0.000023
