year,Arjun
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,7
1968,0
1969,5
1970,7
1971,0
1972,0
1973,0
1974,0
1975,0
1976,6
1977,0
1978,11
1979,11
1980,13
1981,14
1982,13
1983,22
1984,17
1985,25
1986,24
1987,26
1988,41
1989,48
1990,64
1991,64
1992,64
1993,71
1994,85
1995,89
1996,104
1997,97
1998,131
1999,139
2000,123
2001,156
2002,166
2003,227
2004,250
2005,287
2006,298
2007,314
2008,293
2009,319
2010,377
2011,485
2012,544
