year,Angelena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,6
1904,0
1905,0
1906,7
1907,0
1908,0
1909,10
1910,6
1911,5
1912,7
1913,8
1914,9
1915,10
1916,13
1917,22
1918,19
1919,14
1920,19
1921,17
1922,18
1923,20
1924,18
1925,20
1926,14
1927,13
1928,11
1929,5
1930,0
1931,5
1932,11
1933,9
1934,8
1935,8
1936,5
1937,7
1938,6
1939,5
1940,8
1941,0
1942,5
1943,0
1944,11
1945,6
1946,11
1947,11
1948,15
1949,5
1950,12
1951,6
1952,0
1953,9
1954,10
1955,9
1956,5
1957,6
1958,6
1959,13
1960,18
1961,16
1962,12
1963,16
1964,14
1965,35
1966,28
1967,28
1968,23
1969,27
1970,31
1971,39
1972,42
1973,26
1974,37
1975,46
1976,41
1977,45
1978,32
1979,61
1980,45
1981,53
1982,57
1983,47
1984,35
1985,42
1986,37
1987,46
1988,37
1989,47
1990,58
1991,49
1992,54
1993,39
1994,37
1995,42
1996,44
1997,54
1998,40
1999,53
2000,73
2001,81
2002,99
2003,106
2004,118
2005,119
2006,85
2007,74
2008,69
2009,62
2010,38
2011,33
2012,28
