year,Annabell
1880,0
1881,0
1882,6
1883,0
1884,6
1885,9
1886,10
1887,9
1888,0
1889,10
1890,7
1891,8
1892,5
1893,17
1894,11
1895,16
1896,11
1897,15
1898,16
1899,12
1900,17
1901,15
1902,17
1903,24
1904,19
1905,25
1906,33
1907,24
1908,22
1909,23
1910,37
1911,27
1912,52
1913,45
1914,61
1915,74
1916,70
1917,79
1918,81
1919,86
1920,95
1921,117
1922,114
1923,120
1924,118
1925,109
1926,85
1927,110
1928,101
1929,111
1930,69
1931,89
1932,73
1933,62
1934,59
1935,57
1936,47
1937,31
1938,50
1939,38
1940,31
1941,28
1942,26
1943,36
1944,31
1945,23
1946,26
1947,28
1948,17
1949,20
1950,20
1951,22
1952,20
1953,13
1954,21
1955,14
1956,11
1957,12
1958,7
1959,23
1960,27
1961,20
1962,19
1963,15
1964,18
1965,14
1966,18
1967,15
1968,7
1969,10
1970,14
1971,19
1972,8
1973,17
1974,17
1975,11
1976,13
1977,16
1978,8
1979,15
1980,17
1981,15
1982,15
1983,20
1984,19
1985,21
1986,9
1987,10
1988,12
1989,14
1990,15
1991,10
1992,19
1993,15
1994,15
1995,20
1996,10
1997,24
1998,34
1999,29
2000,47
2001,55
2002,70
2003,74
2004,80
2005,111
2006,116
2007,136
2008,170
2009,197
2010,235
2011,264
2012,255
