year,Albertine
1880,5
1881,6
1882,0
1883,14
1884,8
1885,10
1886,5
1887,15
1888,16
1889,14
1890,24
1891,18
1892,20
1893,14
1894,16
1895,23
1896,27
1897,24
1898,20
1899,15
1900,31
1901,21
1902,24
1903,22
1904,21
1905,25
1906,14
1907,21
1908,26
1909,19
1910,22
1911,23
1912,36
1913,33
1914,42
1915,56
1916,50
1917,63
1918,69
1919,63
1920,51
1921,58
1922,47
1923,49
1924,59
1925,62
1926,28
1927,30
1928,33
1929,35
1930,30
1931,37
1932,43
1933,28
1934,25
1935,44
1936,25
1937,27
1938,25
1939,20
1940,28
1941,23
1942,32
1943,14
1944,24
1945,12
1946,15
1947,29
1948,32
1949,18
1950,14
1951,24
1952,10
1953,12
1954,16
1955,7
1956,9
1957,8
1958,13
1959,12
1960,10
1961,10
1962,10
1963,6
1964,0
1965,9
1966,0
1967,0
1968,12
1969,13
1970,6
1971,8
1972,6
1973,6
1974,11
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,6
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
