year,Annemarie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,9
1914,0
1915,7
1916,0
1917,8
1918,5
1919,5
1920,0
1921,5
1922,6
1923,10
1924,11
1925,10
1926,12
1927,11
1928,14
1929,11
1930,18
1931,26
1932,19
1933,20
1934,14
1935,32
1936,21
1937,19
1938,30
1939,18
1940,30
1941,38
1942,53
1943,46
1944,49
1945,57
1946,74
1947,60
1948,60
1949,88
1950,77
1951,83
1952,77
1953,87
1954,95
1955,103
1956,88
1957,118
1958,115
1959,185
1960,223
1961,251
1962,230
1963,241
1964,345
1965,293
1966,245
1967,273
1968,378
1969,329
1970,278
1971,249
1972,210
1973,173
1974,193
1975,183
1976,165
1977,189
1978,185
1979,166
1980,176
1981,167
1982,167
1983,190
1984,190
1985,152
1986,167
1987,130
1988,134
1989,142
1990,181
1991,152
1992,172
1993,144
1994,167
1995,149
1996,164
1997,171
1998,174
1999,156
2000,156
2001,139
2002,117
2003,119
2004,133
2005,117
2006,109
2007,96
2008,120
2009,101
2010,85
2011,96
2012,80
