year,Alise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,9
1909,0
1910,7
1911,6
1912,5
1913,7
1914,5
1915,9
1916,9
1917,6
1918,7
1919,11
1920,7
1921,12
1922,9
1923,8
1924,7
1925,13
1926,9
1927,7
1928,5
1929,5
1930,9
1931,9
1932,5
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,5
1943,0
1944,6
1945,0
1946,5
1947,6
1948,5
1949,7
1950,5
1951,11
1952,9
1953,13
1954,13
1955,20
1956,14
1957,20
1958,14
1959,17
1960,27
1961,28
1962,23
1963,30
1964,34
1965,33
1966,32
1967,21
1968,28
1969,30
1970,24
1971,31
1972,22
1973,17
1974,23
1975,17
1976,28
1977,9
1978,13
1979,21
1980,19
1981,22
1982,21
1983,41
1984,50
1985,63
1986,89
1987,92
1988,86
1989,78
1990,80
1991,71
1992,67
1993,56
1994,50
1995,47
1996,51
1997,51
1998,60
1999,79
2000,85
2001,74
2002,57
2003,62
2004,62
2005,87
2006,90
2007,81
2008,74
2009,67
2010,61
2011,86
2012,85
