year,Amada
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,0
1892,0
1893,0
1894,6
1895,6
1896,0
1897,7
1898,9
1899,5
1900,5
1901,0
1902,5
1903,8
1904,7
1905,0
1906,5
1907,6
1908,0
1909,5
1910,5
1911,5
1912,11
1913,10
1914,11
1915,15
1916,13
1917,9
1918,13
1919,17
1920,13
1921,22
1922,14
1923,30
1924,29
1925,26
1926,25
1927,26
1928,30
1929,23
1930,24
1931,7
1932,12
1933,22
1934,21
1935,18
1936,8
1937,13
1938,16
1939,16
1940,16
1941,17
1942,8
1943,16
1944,14
1945,17
1946,17
1947,16
1948,9
1949,16
1950,10
1951,20
1952,10
1953,15
1954,10
1955,12
1956,13
1957,11
1958,19
1959,11
1960,15
1961,15
1962,15
1963,14
1964,14
1965,9
1966,17
1967,13
1968,16
1969,11
1970,10
1971,24
1972,15
1973,18
1974,19
1975,10
1976,19
1977,26
1978,26
1979,24
1980,24
1981,23
1982,41
1983,39
1984,38
1985,31
1986,23
1987,33
1988,34
1989,28
1990,35
1991,30
1992,33
1993,31
1994,19
1995,20
1996,18
1997,28
1998,29
1999,32
2000,23
2001,20
2002,29
2003,21
2004,28
2005,17
2006,24
2007,23
2008,28
2009,19
2010,20
2011,22
2012,19
