year,Antwine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,5
1960,0
1961,0
1962,6
1963,9
1964,0
1965,6
1966,6
1967,7
1968,6
1969,10
1970,10
1971,11
1972,13
1973,9
1974,16
1975,14
1976,22
1977,14
1978,19
1979,13
1980,16
1981,18
1982,22
1983,18
1984,12
1985,13
1986,13
1987,10
1988,15
1989,18
1990,12
1991,14
1992,8
1993,11
1994,6
1995,0
1996,0
1997,0
1998,8
1999,9
2000,7
2001,0
2002,0
2003,10
2004,8
2005,0
2006,5
2007,10
2008,8
2009,5
2010,0
2011,0
2012,5
