year,Alverda
1880,0
1881,0
1882,0
1883,5
1884,5
1885,0
1886,0
1887,7
1888,0
1889,9
1890,7
1891,0
1892,10
1893,7
1894,10
1895,7
1896,5
1897,0
1898,10
1899,11
1900,12
1901,16
1902,14
1903,7
1904,14
1905,11
1906,6
1907,15
1908,13
1909,7
1910,8
1911,16
1912,18
1913,20
1914,21
1915,22
1916,32
1917,27
1918,32
1919,28
1920,29
1921,34
1922,37
1923,32
1924,29
1925,28
1926,19
1927,20
1928,20
1929,25
1930,20
1931,13
1932,15
1933,14
1934,10
1935,10
1936,11
1937,9
1938,9
1939,6
1940,7
1941,7
1942,6
1943,14
1944,5
1945,0
1946,6
1947,5
1948,5
1949,9
1950,5
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
