year,Aviva
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,0
1937,5
1938,0
1939,6
1940,8
1941,0
1942,0
1943,0
1944,0
1945,5
1946,6
1947,0
1948,9
1949,6
1950,14
1951,5
1952,13
1953,11
1954,16
1955,12
1956,12
1957,16
1958,22
1959,10
1960,12
1961,14
1962,11
1963,19
1964,22
1965,20
1966,9
1967,31
1968,22
1969,25
1970,22
1971,29
1972,25
1973,24
1974,31
1975,27
1976,33
1977,32
1978,34
1979,52
1980,51
1981,35
1982,43
1983,34
1984,47
1985,53
1986,42
1987,43
1988,56
1989,33
1990,39
1991,45
1992,31
1993,39
1994,49
1995,34
1996,37
1997,42
1998,29
1999,48
2000,30
2001,54
2002,40
2003,34
2004,52
2005,63
2006,56
2007,60
2008,63
2009,73
2010,65
2011,90
2012,70
