year,Aubrey (F),Aubrey (M)
1880,0.000000,0.000104
1881,0.000000,0.000078
1882,0.000000,0.000072
1883,0.000000,0.000092
1884,0.000000,0.000074
1885,0.000000,0.000046
1886,0.000000,0.000039
1887,0.000000,0.000137
1888,0.000000,0.000060
1889,0.000017,0.000052
1890,0.000000,0.000070
1891,0.000000,0.000070
1892,0.000000,0.000105
1893,0.000018,0.000098
1894,0.000000,0.000115
1895,0.000020,0.000105
1896,0.000000,0.000140
1897,0.000000,0.000133
1898,0.000016,0.000118
1899,0.000000,0.000124
1900,0.000011,0.000138
1901,0.000032,0.000124
1902,0.000016,0.000127
1903,0.000024,0.000147
1904,0.000022,0.000149
1905,0.000021,0.000163
1906,0.000012,0.000156
1907,0.000019,0.000163
1908,0.000023,0.000137
1909,0.000000,0.000164
1910,0.000015,0.000178
1911,0.000026,0.000166
1912,0.000015,0.000239
1913,0.000011,0.000224
1914,0.000012,0.000221
1915,0.000009,0.000215
1916,0.000012,0.000222
1917,0.000012,0.000218
1918,0.000009,0.000198
1919,0.000010,0.000185
1920,0.000008,0.000211
1921,0.000013,0.000206
1922,0.000010,0.000203
1923,0.000010,0.000196
1924,0.000015,0.000191
1925,0.000012,0.000196
1926,0.000015,0.000217
1927,0.000012,0.000169
1928,0.000012,0.000190
1929,0.000013,0.000180
1930,0.000013,0.000176
1931,0.000007,0.000182
1932,0.000009,0.000192
1933,0.000009,0.000179
1934,0.000008,0.000179
1935,0.000009,0.000167
1936,0.000006,0.000174
1937,0.000010,0.000176
1938,0.000005,0.000176
1939,0.000005,0.000177
1940,0.000007,0.000154
1941,0.000003,0.000153
1942,0.000006,0.000146
1943,0.000005,0.000132
1944,0.000004,0.000119
1945,0.000005,0.000110
1946,0.000003,0.000105
1947,0.000003,0.000085
1948,0.000003,0.000092
1949,0.000001,0.000086
1950,0.000003,0.000084
1951,0.000004,0.000092
1952,0.000002,0.000082
1953,0.000000,0.000091
1954,0.000003,0.000085
1955,0.000002,0.000074
1956,0.000002,0.000090
1957,0.000002,0.000089
1958,0.000002,0.000087
1959,0.000003,0.000082
1960,0.000003,0.000066
1961,0.000004,0.000063
1962,0.000002,0.000063
1963,0.000002,0.000062
1964,0.000002,0.000063
1965,0.000002,0.000053
1966,0.000003,0.000058
1967,0.000005,0.000057
1968,0.000003,0.000062
1969,0.000005,0.000056
1970,0.000003,0.000057
1971,0.000003,0.000064
1972,0.000006,0.000057
1973,0.000047,0.000056
1974,0.000061,0.000057
1975,0.000076,0.000066
1976,0.000087,0.000053
1977,0.000105,0.000055
1978,0.000123,0.000056
1979,0.000142,0.000055
1980,0.000139,0.000051
1981,0.000152,0.000055
1982,0.000182,0.000054
1983,0.000170,0.000055
1984,0.000179,0.000054
1985,0.000216,0.000065
1986,0.000202,0.000065
1987,0.000228,0.000055
1988,0.000227,0.000057
1989,0.000206,0.000049
1990,0.000237,0.000051
1991,0.000237,0.000049
1992,0.000288,0.000054
1993,0.000281,0.000053
1994,0.000296,0.000062
1995,0.000285,0.000057
1996,0.000300,0.000057
1997,0.000313,0.000054
1998,0.000340,0.000048
1999,0.000339,0.000050
2000,0.000373,0.000050
2001,0.000402,0.000044
2002,0.000439,0.000046
2003,0.000462,0.000036
2004,0.000475,0.000038
2005,0.000589,0.000039
2006,0.000925,0.000036
2007,0.001128,0.000035
2008,0.001417,0.000034
2009,0.001416,0.000038
2010,0.001452,0.000039
2011,0.001964,0.000039
2012,0.002204,0.000042
2013,0.002189,0.000038
2014,0.002061,0.000036
2015,0.001999,0.000040
2016,0.001787,0.000036
2017,0.001659,0.000039
2018,0.001483,0.000044
2019,0.001326,0.000043
2020,0.001176,0.000043
