year,Arsenio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,6
1916,8
1917,6
1918,7
1919,0
1920,9
1921,7
1922,10
1923,6
1924,11
1925,10
1926,18
1927,18
1928,12
1929,9
1930,12
1931,14
1932,11
1933,13
1934,14
1935,12
1936,10
1937,16
1938,6
1939,6
1940,10
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,0
1948,9
1949,0
1950,0
1951,8
1952,5
1953,7
1954,0
1955,10
1956,12
1957,14
1958,11
1959,13
1960,15
1961,11
1962,15
1963,8
1964,9
1965,8
1966,11
1967,8
1968,12
1969,9
1970,8
1971,11
1972,14
1973,10
1974,16
1975,9
1976,15
1977,11
1978,13
1979,13
1980,13
1981,14
1982,12
1983,37
1984,53
1985,27
1986,21
1987,83
1988,124
1989,397
1990,188
1991,45
1992,47
1993,22
1994,15
1995,18
1996,21
1997,10
1998,18
1999,9
2000,12
2001,10
2002,11
2003,15
2004,7
2005,11
2006,15
2007,13
2008,24
2009,21
2010,15
2011,17
2012,19
