year,Agness
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,0
1888,8
1889,0
1890,5
1891,8
1892,8
1893,6
1894,7
1895,0
1896,0
1897,0
1898,7
1899,5
1900,9
1901,9
1902,11
1903,6
1904,7
1905,9
1906,9
1907,7
1908,12
1909,7
1910,12
1911,12
1912,16
1913,11
1914,25
1915,18
1916,21
1917,26
1918,25
1919,30
1920,22
1921,31
1922,26
1923,38
1924,18
1925,14
1926,33
1927,13
1928,21
1929,15
1930,20
1931,18
1932,11
1933,12
1934,10
1935,15
1936,8
1937,9
1938,16
1939,8
1940,6
1941,7
1942,0
1943,9
1944,10
1945,5
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,5
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
