year,Addison (F),Addison (M)
1880,0.000000,0.000094
1881,0.000000,0.000088
1882,0.000000,0.000095
1883,0.000000,0.000092
1884,0.000000,0.000070
1885,0.000000,0.000071
1886,0.000000,0.000063
1887,0.000000,0.000049
1888,0.000000,0.000067
1889,0.000000,0.000038
1890,0.000000,0.000046
1891,0.000000,0.000035
1892,0.000000,0.000036
1893,0.000000,0.000028
1894,0.000000,0.000059
1895,0.000000,0.000054
1896,0.000000,0.000039
1897,0.000000,0.000023
1898,0.000000,0.000047
1899,0.000000,0.000035
1900,0.000000,0.000024
1901,0.000000,0.000026
1902,0.000000,0.000036
1903,0.000000,0.000039
1904,0.000000,0.000022
1905,0.000000,0.000038
1906,0.000000,0.000016
1907,0.000000,0.000024
1908,0.000000,0.000035
1909,0.000000,0.000025
1910,0.000000,0.000020
1911,0.000000,0.000031
1912,0.000000,0.000033
1913,0.000000,0.000029
1914,0.000000,0.000042
1915,0.000000,0.000034
1916,0.000000,0.000037
1917,0.000000,0.000036
1918,0.000000,0.000035
1919,0.000000,0.000030
1920,0.000000,0.000026
1921,0.000000,0.000033
1922,0.000000,0.000032
1923,0.000000,0.000028
1924,0.000000,0.000024
1925,0.000000,0.000019
1926,0.000000,0.000026
1927,0.000000,0.000028
1928,0.000000,0.000024
1929,0.000000,0.000022
1930,0.000000,0.000026
1931,0.000000,0.000024
1932,0.000000,0.000020
1933,0.000000,0.000021
1934,0.000000,0.000020
1935,0.000000,0.000016
1936,0.000000,0.000017
1937,0.000000,0.000017
1938,0.000000,0.000015
1939,0.000000,0.000017
1940,0.000000,0.000014
1941,0.000000,0.000014
1942,0.000000,0.000015
1943,0.000000,0.000016
1944,0.000000,0.000012
1945,0.000000,0.000010
1946,0.000000,0.000011
1947,0.000000,0.000009
1948,0.000000,0.000007
1949,0.000000,0.000010
1950,0.000000,0.000012
1951,0.000000,0.000011
1952,0.000000,0.000008
1953,0.000000,0.000008
1954,0.000000,0.000010
1955,0.000000,0.000009
1956,0.000000,0.000007
1957,0.000000,0.000008
1958,0.000000,0.000005
1959,0.000000,0.000007
1960,0.000000,0.000008
1961,0.000000,0.000007
1962,0.000000,0.000006
1963,0.000000,0.000008
1964,0.000000,0.000005
1965,0.000000,0.000008
1966,0.000000,0.000007
1967,0.000000,0.000005
1968,0.000000,0.000005
1969,0.000000,0.000008
1970,0.000000,0.000009
1971,0.000000,0.000011
1972,0.000000,0.000009
1973,0.000000,0.000008
1974,0.000000,0.000007
1975,0.000000,0.000009
1976,0.000000,0.000010
1977,0.000000,0.000005
1978,0.000000,0.000008
1979,0.000000,0.000011
1980,0.000002,0.000010
1981,0.000000,0.000007
1982,0.000002,0.000009
1983,0.000000,0.000010
1984,0.000002,0.000011
1985,0.000004,0.000017
1986,0.000009,0.000083
1987,0.000012,0.000078
1988,0.000011,0.000067
1989,0.000018,0.000062
1990,0.000018,0.000063
1991,0.000027,0.000062
1992,0.000031,0.000068
1993,0.000045,0.000083
1994,0.000068,0.000092
1995,0.000086,0.000096
1996,0.000117,0.000096
1997,0.000146,0.000099
1998,0.000185,0.000098
1999,0.000215,0.000113
2000,0.000260,0.000115
2001,0.000311,0.000113
2002,0.000390,0.000107
2003,0.000448,0.000113
2004,0.000538,0.000113
2005,0.000787,0.000102
2006,0.001928,0.000113
2007,0.002993,0.000085
2008,0.002742,0.000068
2009,0.002795,0.000063
2010,0.002799,0.000052
2011,0.002548,0.000053
2012,0.002242,0.000046
2013,0.002128,0.000037
