year,Altagracia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,7
1917,12
1918,13
1919,10
1920,5
1921,11
1922,13
1923,7
1924,9
1925,8
1926,17
1927,12
1928,11
1929,13
1930,8
1931,0
1932,6
1933,0
1934,7
1935,6
1936,0
1937,7
1938,7
1939,0
1940,8
1941,6
1942,0
1943,5
1944,6
1945,5
1946,0
1947,0
1948,6
1949,6
1950,0
1951,6
1952,12
1953,9
1954,6
1955,6
1956,5
1957,9
1958,7
1959,6
1960,5
1961,6
1962,8
1963,6
1964,7
1965,14
1966,12
1967,15
1968,9
1969,10
1970,7
1971,16
1972,12
1973,13
1974,19
1975,21
1976,13
1977,10
1978,14
1979,10
1980,12
1981,8
1982,18
1983,8
1984,11
1985,13
1986,9
1987,19
1988,10
1989,16
1990,21
1991,8
1992,8
1993,10
1994,8
1995,8
1996,12
1997,9
1998,6
1999,0
2000,6
2001,5
2002,0
2003,7
2004,0
2005,9
2006,0
2007,0
2008,7
2009,0
2010,0
2011,0
2012,0
