year,Abelardo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,10
1916,9
1917,5
1918,17
1919,15
1920,18
1921,16
1922,18
1923,24
1924,20
1925,13
1926,25
1927,25
1928,19
1929,37
1930,29
1931,16
1932,35
1933,33
1934,30
1935,39
1936,36
1937,25
1938,28
1939,31
1940,33
1941,17
1942,25
1943,25
1944,27
1945,30
1946,40
1947,25
1948,34
1949,26
1950,26
1951,29
1952,33
1953,34
1954,44
1955,29
1956,53
1957,55
1958,25
1959,41
1960,49
1961,47
1962,36
1963,43
1964,35
1965,49
1966,41
1967,42
1968,28
1969,43
1970,53
1971,45
1972,68
1973,50
1974,43
1975,55
1976,52
1977,44
1978,44
1979,56
1980,49
1981,49
1982,49
1983,62
1984,49
1985,47
1986,50
1987,42
1988,46
1989,63
1990,60
1991,56
1992,66
1993,78
1994,74
1995,77
1996,87
1997,64
1998,57
1999,53
2000,58
2001,77
2002,99
2003,61
2004,52
2005,63
2006,51
2007,72
2008,55
2009,45
2010,31
2011,42
2012,50
