year,Alston
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,7
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,7
1914,12
1915,15
1916,13
1917,22
1918,22
1919,11
1920,15
1921,11
1922,20
1923,15
1924,16
1925,18
1926,13
1927,16
1928,16
1929,15
1930,18
1931,9
1932,14
1933,12
1934,11
1935,7
1936,6
1937,11
1938,13
1939,12
1940,11
1941,6
1942,8
1943,7
1944,15
1945,0
1946,11
1947,10
1948,15
1949,9
1950,11
1951,12
1952,6
1953,7
1954,12
1955,7
1956,12
1957,9
1958,9
1959,8
1960,8
1961,11
1962,14
1963,8
1964,9
1965,0
1966,9
1967,7
1968,0
1969,11
1970,6
1971,5
1972,7
1973,5
1974,8
1975,6
1976,12
1977,6
1978,5
1979,12
1980,11
1981,10
1982,13
1983,8
1984,19
1985,18
1986,12
1987,15
1988,22
1989,24
1990,38
1991,35
1992,31
1993,38
1994,55
1995,55
1996,53
1997,65
1998,64
1999,53
2000,47
2001,35
2002,46
2003,43
2004,44
2005,46
2006,50
2007,51
2008,57
2009,50
2010,44
2011,52
2012,68
