year,Alishia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,9
1961,5
1962,0
1963,10
1964,7
1965,13
1966,9
1967,15
1968,13
1969,18
1970,17
1971,32
1972,35
1973,37
1974,36
1975,47
1976,56
1977,69
1978,77
1979,88
1980,109
1981,99
1982,75
1983,109
1984,108
1985,119
1986,122
1987,120
1988,124
1989,123
1990,132
1991,126
1992,97
1993,85
1994,76
1995,74
1996,59
1997,43
1998,38
1999,24
2000,26
2001,29
2002,27
2003,22
2004,27
2005,19
2006,22
2007,12
2008,24
2009,11
2010,5
2011,14
2012,10
