year,Amalia
1880,9
1881,11
1882,11
1883,8
1884,14
1885,19
1886,11
1887,20
1888,22
1889,15
1890,16
1891,20
1892,11
1893,16
1894,33
1895,19
1896,18
1897,24
1898,25
1899,21
1900,27
1901,17
1902,22
1903,21
1904,12
1905,17
1906,21
1907,22
1908,23
1909,27
1910,31
1911,28
1912,36
1913,45
1914,52
1915,74
1916,73
1917,71
1918,71
1919,78
1920,87
1921,78
1922,73
1923,99
1924,124
1925,73
1926,99
1927,90
1928,98
1929,84
1930,87
1931,74
1932,67
1933,63
1934,54
1935,41
1936,47
1937,36
1938,39
1939,35
1940,50
1941,46
1942,42
1943,55
1944,51
1945,46
1946,46
1947,57
1948,59
1949,62
1950,61
1951,54
1952,69
1953,60
1954,60
1955,65
1956,81
1957,83
1958,66
1959,58
1960,61
1961,72
1962,79
1963,80
1964,81
1965,67
1966,69
1967,70
1968,61
1969,66
1970,70
1971,77
1972,72
1973,92
1974,94
1975,83
1976,95
1977,81
1978,108
1979,91
1980,97
1981,121
1982,98
1983,86
1984,110
1985,110
1986,109
1987,100
1988,98
1989,126
1990,144
1991,145
1992,128
1993,139
1994,142
1995,144
1996,138
1997,138
1998,114
1999,135
2000,149
2001,155
2002,162
2003,192
2004,196
2005,187
2006,225
2007,220
2008,248
2009,243
2010,230
2011,256
2012,245
