year,Alphonso (F),Alphonso (M)
1880,0.000000,0.000025
1881,0.000000,0.000036
1882,0.000000,0.000036
1883,0.000000,0.000028
1884,0.000000,0.000033
1885,0.000000,0.000000
1886,0.000000,0.000035
1887,0.000000,0.000000
1888,0.000000,0.000037
1889,0.000000,0.000000
1890,0.000000,0.000027
1891,0.000000,0.000024
1892,0.000000,0.000027
1893,0.000000,0.000000
1894,0.000000,0.000035
1895,0.000000,0.000000
1896,0.000000,0.000036
1897,0.000000,0.000035
1898,0.000000,0.000029
1899,0.000000,0.000032
1900,0.000000,0.000078
1901,0.000000,0.000035
1902,0.000000,0.000036
1903,0.000000,0.000039
1904,0.000000,0.000052
1905,0.000000,0.000045
1906,0.000000,0.000063
1907,0.000000,0.000043
1908,0.000000,0.000045
1909,0.000000,0.000041
1910,0.000000,0.000059
1911,0.000000,0.000048
1912,0.000000,0.000070
1913,0.000000,0.000048
1914,0.000000,0.000052
1915,0.000000,0.000046
1916,0.000000,0.000052
1917,0.000000,0.000048
1918,0.000000,0.000047
1919,0.000000,0.000057
1920,0.000000,0.000038
1921,0.000000,0.000055
1922,0.000000,0.000048
1923,0.000000,0.000050
1924,0.000000,0.000040
1925,0.000000,0.000053
1926,0.000000,0.000050
1927,0.000000,0.000052
1928,0.000000,0.000050
1929,0.000000,0.000051
1930,0.000003,0.000058
1931,0.000000,0.000057
1932,0.000000,0.000074
1933,0.000000,0.000062
1934,0.000000,0.000061
1935,0.000000,0.000064
1936,0.000000,0.000052
1937,0.000000,0.000057
1938,0.000000,0.000061
1939,0.000000,0.000056
1940,0.000000,0.000061
1941,0.000000,0.000060
1942,0.000000,0.000052
1943,0.000000,0.000051
1944,0.000000,0.000044
1945,0.000000,0.000051
1946,0.000000,0.000058
1947,0.000000,0.000056
1948,0.000000,0.000059
1949,0.000000,0.000066
1950,0.000000,0.000060
1951,0.000000,0.000077
1952,0.000000,0.000069
1953,0.000000,0.000070
1954,0.000000,0.000069
1955,0.000000,0.000077
1956,0.000000,0.000073
1957,0.000000,0.000069
1958,0.000000,0.000065
1959,0.000000,0.000072
1960,0.000001,0.000069
1961,0.000000,0.000072
1962,0.000000,0.000079
1963,0.000001,0.000066
1964,0.000000,0.000061
1965,0.000000,0.000060
1966,0.000000,0.000066
1967,0.000000,0.000064
1968,0.000000,0.000063
1969,0.000000,0.000061
1970,0.000000,0.000060
1971,0.000000,0.000057
1972,0.000000,0.000060
1973,0.000000,0.000054
1974,0.000000,0.000063
1975,0.000000,0.000051
1976,0.000002,0.000042
1977,0.000000,0.000041
1978,0.000000,0.000038
1979,0.000000,0.000038
1980,0.000000,0.000034
1981,0.000000,0.000036
1982,0.000000,0.000031
1983,0.000000,0.000032
1984,0.000000,0.000037
1985,0.000000,0.000040
1986,0.000000,0.000044
1987,0.000001,0.000034
1988,0.000000,0.000035
1989,0.000000,0.000039
1990,0.000000,0.000040
1991,0.000000,0.000028
1992,0.000000,0.000032
1993,0.000000,0.000029
1994,0.000000,0.000024
1995,0.000000,0.000018
1996,0.000000,0.000023
1997,0.000000,0.000019
1998,0.000000,0.000020
1999,0.000000,0.000015
2000,0.000000,0.000016
2001,0.000000,0.000014
2002,0.000000,0.000015
2003,0.000000,0.000014
2004,0.000000,0.000014
2005,0.000000,0.000013
2006,0.000000,0.000013
2007,0.000000,0.000011
2008,0.000000,0.000012
2009,0.000000,0.000010
2010,0.000000,0.000009
2011,0.000000,0.000012
2012,0.000000,0.000010
