year,Anni
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,5
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,0
1952,0
1953,0
1954,5
1955,6
1956,0
1957,0
1958,6
1959,0
1960,7
1961,0
1962,7
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,6
1975,0
1976,8
1977,9
1978,8
1979,6
1980,7
1981,8
1982,9
1983,0
1984,10
1985,6
1986,10
1987,8
1988,14
1989,6
1990,0
1991,11
1992,9
1993,15
1994,7
1995,11
1996,11
1997,11
1998,13
1999,12
2000,9
2001,20
2002,15
2003,13
2004,15
2005,12
2006,13
2007,11
2008,16
2009,20
2010,13
2011,15
2012,12
