year,Anastacio
1880,6
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,8
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,7
1908,0
1909,7
1910,8
1911,15
1912,12
1913,12
1914,18
1915,14
1916,18
1917,20
1918,20
1919,25
1920,24
1921,21
1922,25
1923,27
1924,36
1925,33
1926,31
1927,26
1928,24
1929,33
1930,29
1931,28
1932,25
1933,26
1934,17
1935,26
1936,19
1937,22
1938,29
1939,29
1940,30
1941,24
1942,23
1943,24
1944,26
1945,20
1946,25
1947,31
1948,24
1949,24
1950,20
1951,19
1952,24
1953,28
1954,17
1955,21
1956,29
1957,34
1958,16
1959,20
1960,20
1961,17
1962,26
1963,21
1964,14
1965,26
1966,14
1967,22
1968,25
1969,21
1970,19
1971,23
1972,17
1973,18
1974,16
1975,24
1976,25
1977,25
1978,23
1979,23
1980,26
1981,27
1982,22
1983,23
1984,13
1985,16
1986,19
1987,25
1988,15
1989,28
1990,15
1991,13
1992,19
1993,15
1994,16
1995,16
1996,25
1997,19
1998,13
1999,20
2000,30
2001,15
2002,14
2003,8
2004,15
2005,15
2006,11
2007,11
2008,10
2009,12
2010,17
2011,11
2012,7
