year,Arcadio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,5
1916,5
1917,0
1918,9
1919,5
1920,6
1921,8
1922,10
1923,6
1924,13
1925,14
1926,10
1927,9
1928,13
1929,12
1930,7
1931,8
1932,5
1933,7
1934,9
1935,8
1936,0
1937,5
1938,8
1939,9
1940,7
1941,8
1942,0
1943,7
1944,7
1945,9
1946,9
1947,6
1948,10
1949,10
1950,8
1951,6
1952,7
1953,12
1954,16
1955,21
1956,10
1957,10
1958,11
1959,14
1960,13
1961,20
1962,11
1963,5
1964,12
1965,15
1966,13
1967,20
1968,14
1969,15
1970,13
1971,21
1972,14
1973,12
1974,10
1975,19
1976,10
1977,21
1978,11
1979,13
1980,13
1981,14
1982,7
1983,12
1984,9
1985,17
1986,12
1987,13
1988,24
1989,9
1990,9
1991,9
1992,22
1993,9
1994,12
1995,7
1996,15
1997,15
1998,14
1999,15
2000,10
2001,10
2002,10
2003,13
2004,8
2005,9
2006,13
2007,0
2008,10
2009,7
2010,10
2011,11
2012,7
