year,Adelfa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,10
1917,0
1918,0
1919,7
1920,8
1921,10
1922,9
1923,10
1924,11
1925,5
1926,11
1927,12
1928,11
1929,10
1930,5
1931,0
1932,7
1933,7
1934,8
1935,10
1936,6
1937,8
1938,8
1939,11
1940,0
1941,6
1942,11
1943,7
1944,7
1945,15
1946,16
1947,11
1948,9
1949,7
1950,7
1951,6
1952,5
1953,6
1954,0
1955,0
1956,0
1957,6
1958,7
1959,6
1960,5
1961,0
1962,0
1963,0
1964,9
1965,0
1966,5
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,0
1974,5
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
