year,Ayako
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,5
1910,5
1911,8
1912,7
1913,9
1914,13
1915,18
1916,17
1917,21
1918,30
1919,24
1920,26
1921,22
1922,23
1923,23
1924,24
1925,23
1926,17
1927,20
1928,16
1929,13
1930,8
1931,8
1932,11
1933,5
1934,0
1935,5
1936,5
1937,7
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,5
1975,6
1976,6
1977,0
1978,0
1979,0
1980,0
1981,6
1982,8
1983,5
1984,8
1985,0
1986,7
1987,0
1988,0
1989,6
1990,6
1991,0
1992,12
1993,8
1994,7
1995,7
1996,0
1997,0
1998,0
1999,0
2000,0
2001,5
2002,0
2003,6
2004,0
2005,0
2006,0
2007,0
2008,0
2009,5
2010,7
2011,0
2012,0
