year,Armando (F),Armando (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000019
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000023
1910,0.000000,0.000032
1911,0.000000,0.000028
1912,0.000000,0.000033
1913,0.000000,0.000047
1914,0.000000,0.000073
1915,0.000000,0.000052
1916,0.000000,0.000051
1917,0.000000,0.000060
1918,0.000000,0.000086
1919,0.000000,0.000087
1920,0.000000,0.000072
1921,0.000000,0.000102
1922,0.000000,0.000082
1923,0.000000,0.000086
1924,0.000000,0.000081
1925,0.000000,0.000094
1926,0.000000,0.000088
1927,0.000000,0.000096
1928,0.000000,0.000106
1929,0.000000,0.000105
1930,0.000000,0.000121
1931,0.000000,0.000105
1932,0.000000,0.000099
1933,0.000000,0.000088
1934,0.000000,0.000090
1935,0.000002,0.000075
1936,0.000000,0.000080
1937,0.000000,0.000085
1938,0.000000,0.000090
1939,0.000000,0.000088
1940,0.000000,0.000084
1941,0.000000,0.000087
1942,0.000000,0.000093
1943,0.000000,0.000086
1944,0.000000,0.000092
1945,0.000000,0.000105
1946,0.000000,0.000114
1947,0.000000,0.000120
1948,0.000000,0.000118
1949,0.000000,0.000136
1950,0.000000,0.000139
1951,0.000001,0.000133
1952,0.000001,0.000139
1953,0.000001,0.000148
1954,0.000000,0.000143
1955,0.000001,0.000151
1956,0.000000,0.000156
1957,0.000001,0.000156
1958,0.000000,0.000144
1959,0.000000,0.000146
1960,0.000002,0.000147
1961,0.000001,0.000145
1962,0.000001,0.000157
1963,0.000001,0.000161
1964,0.000000,0.000161
1965,0.000000,0.000166
1966,0.000001,0.000185
1967,0.000000,0.000183
1968,0.000001,0.000190
1969,0.000003,0.000202
1970,0.000000,0.000203
1971,0.000002,0.000230
1972,0.000002,0.000246
1973,0.000004,0.000254
1974,0.000002,0.000287
1975,0.000004,0.000307
1976,0.000004,0.000317
1977,0.000004,0.000288
1978,0.000003,0.000282
1979,0.000003,0.000293
1980,0.000003,0.000316
1981,0.000003,0.000325
1982,0.000002,0.000281
1983,0.000002,0.000282
1984,0.000003,0.000273
1985,0.000002,0.000285
1986,0.000002,0.000299
1987,0.000003,0.000292
1988,0.000003,0.000269
1989,0.000002,0.000303
1990,0.000003,0.000326
1991,0.000003,0.000343
1992,0.000004,0.000331
1993,0.000004,0.000355
1994,0.000003,0.000348
1995,0.000002,0.000389
1996,0.000001,0.000375
1997,0.000000,0.000417
1998,0.000001,0.000388
1999,0.000002,0.000383
2000,0.000000,0.000382
2001,0.000000,0.000394
2002,0.000000,0.000373
2003,0.000000,0.000336
2004,0.000002,0.000363
2005,0.000000,0.000341
2006,0.000000,0.000330
2007,0.000002,0.000311
2008,0.000001,0.000289
2009,0.000000,0.000284
2010,0.000000,0.000259
2011,0.000000,0.000241
2012,0.000000,0.000225
2013,0.000000,0.000208
2014,0.000000,0.000209
2015,0.000000,0.000203
2016,0.000000,0.000186
2017,0.000000,0.000170
2018,0.000000,0.000174
2019,0.000000,0.000159
2020,0.000000,0.000173
