year,Agapito
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,9
1913,6
1914,5
1915,11
1916,10
1917,11
1918,26
1919,19
1920,21
1921,17
1922,22
1923,19
1924,32
1925,28
1926,32
1927,31
1928,23
1929,22
1930,18
1931,12
1932,19
1933,15
1934,19
1935,13
1936,19
1937,17
1938,19
1939,11
1940,15
1941,15
1942,16
1943,19
1944,22
1945,17
1946,20
1947,26
1948,17
1949,24
1950,8
1951,15
1952,18
1953,25
1954,25
1955,28
1956,17
1957,27
1958,20
1959,22
1960,20
1961,19
1962,17
1963,20
1964,19
1965,27
1966,16
1967,18
1968,16
1969,14
1970,19
1971,22
1972,14
1973,19
1974,27
1975,16
1976,28
1977,16
1978,17
1979,19
1980,16
1981,14
1982,10
1983,10
1984,14
1985,8
1986,10
1987,0
1988,14
1989,9
1990,6
1991,14
1992,6
1993,7
1994,6
1995,9
1996,5
1997,6
1998,9
1999,7
2000,11
2001,6
2002,0
2003,0
2004,0
2005,0
2006,0
2007,8
2008,5
2009,0
2010,6
2011,0
2012,0
