year,Alfrieda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,6
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,6
1903,0
1904,0
1905,6
1906,0
1907,5
1908,5
1909,7
1910,5
1911,5
1912,11
1913,5
1914,10
1915,15
1916,21
1917,19
1918,27
1919,18
1920,24
1921,18
1922,24
1923,25
1924,21
1925,16
1926,15
1927,21
1928,21
1929,20
1930,16
1931,17
1932,15
1933,13
1934,13
1935,14
1936,8
1937,12
1938,7
1939,5
1940,7
1941,5
1942,7
1943,12
1944,15
1945,12
1946,14
1947,5
1948,10
1949,9
1950,10
1951,9
1952,9
1953,5
1954,5
1955,12
1956,6
1957,7
1958,19
1959,11
1960,12
1961,10
1962,10
1963,8
1964,6
1965,0
1966,6
1967,0
1968,0
1969,6
1970,6
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
