year,Adelyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,8
1910,0
1911,9
1912,8
1913,11
1914,13
1915,20
1916,24
1917,19
1918,21
1919,11
1920,14
1921,21
1922,20
1923,13
1924,11
1925,15
1926,14
1927,10
1928,13
1929,9
1930,12
1931,8
1932,8
1933,5
1934,9
1935,12
1936,0
1937,0
1938,7
1939,7
1940,8
1941,7
1942,7
1943,5
1944,6
1945,0
1946,6
1947,0
1948,6
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,5
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,5
1985,7
1986,8
1987,7
1988,5
1989,9
1990,42
1991,22
1992,19
1993,21
1994,18
1995,22
1996,19
1997,16
1998,33
1999,29
2000,49
2001,78
2002,78
2003,126
2004,136
2005,176
2006,245
2007,335
2008,527
2009,778
2010,833
2011,1054
2012,1348
